Materia Prima,Fecha,Humedad,% Tamiz 8,% Tamiz 20,% Tamiz 30,% Tamiz 40,% Tamiz 100,% Bandeja
5-SULFATO CALCIO,21/11/2025,"3,38%","1,41%","7,51%","7,98%","15,02%","43,19%","24,88%"
5-SULFATO CALCIO,19/11/2025,"5,62%","0,48%","4,76%","7,62%","17,62%","46,67%","22,86%"
5-SULFATO CALCIO,15/11/2025,"5,89%","0,41%","4,55%","5,79%","13,64%","49,59%","26,03%"
5-SULFATO CALCIO,13/11/2025,"6,19%","2,59%","7,76%","7,33%","15,52%","43,10%","23,71%"
5-SULFATO CALCIO,07/11/2025,"6,23%","0,83%","5,42%","6,25%","15,00%","48,75%","23,75%"
5-SULFATO CALCIO,04/11/2025,"5,80%","0,87%","9,57%","7,83%","17,39%","51,74%","12,61%"
5-SULFATO CALCIO,11/10/2025,"6,86%","0,89%","6,70%","4,91%","12,95%","46,43%","28,13%"
5-SULFATO CALCIO,04/10/2025,"6,13%","0,37%","4,46%","3,72%","10,41%","47,21%","33,83%"
5-SULFATO CALCIO,02/10/2025,"4,50%","0,66%","6,23%","4,92%","12,46%","49,51%","26,23%"
5-SULFATO CALCIO,27/09/2025,"3,26%","0,36%","3,57%","3,93%","11,07%","48,93%","32,14%"
5-SULFATO CALCIO,25/09/2025,"5,16%","0,37%","7,75%","6,27%","14,39%","50,18%","21,03%"
5-SULFATO CALCIO,23/09/2025,"5,15%","0,89%","4,91%","4,46%","11,61%","47,32%","30,80%"
5-SULFATO CALCIO,19/09/2025,"3,31%","1,06%","8,87%","7,45%","13,48%","41,49%","27,66%"
5-SULFATO CALCIO,18/09/2025,"5,50%","1,09%","3,27%","3,27%","10,55%","49,45%","32,36%"
5-SULFATO CALCIO,17/09/2025,"5,20%","3,23%","8,06%","6,13%","12,26%","41,61%","28,71%"
5-SULFATO CALCIO,15/09/2025,"3,02%","0,70%","4,88%","4,88%","12,54%","47,74%","29,27%"
5-SULFATO CALCIO,11/09/2025,"2,76%","1,55%","7,74%","6,19%","13,00%","44,58%","26,93%"
5-SULFATO CALCIO,04/09/2025,"2,70%","0,31%","5,81%","4,28%","11,31%","48,01%","30,28%"
5-SULFATO CALCIO,03/09/2025,"6,96%","0,00%","4,81%","2,40%","9,62%","51,44%","31,73%"
5-SULFATO CALCIO,01/09/2025,"6,63%","0,46%","6,95%","4,27%","10,65%","46,44%","31,23%"
5-SULFATO CALCIO,30/08/2025,"8,60%","1,43%","6,67%","4,29%","12,38%","48,57%","26,67%"
5-SULFATO CALCIO,27/08/2025,"4,33%","0,00%","6,98%","4,65%","15,81%","27,91%","44,65%"
5-SULFATO CALCIO,20/08/2025,"3,68%","0,00%","10,09%","6,42%","12,84%","43,12%","27,52%"
5-SULFATO CALCIO,19/08/2025,"5,17%","3,57%","8,48%","4,02%","9,82%","42,41%","31,70%"
5-SULFATO CALCIO,14/04/2025,"6,15%","1,02%","6,12%","6,63%","14,29%","53,57%","18,37%"
5-SULFATO CALCIO,09/04/2025,"2,23%","1,01%","10,61%","6,06%","12,12%","42,42%","27,78%"
