COD,PRODUCTO,CLASE,TIPO,Test,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
145,AZUFRE,MP,G,1,,,,,,,,,,,51,,,,,,,,,
123,BORO G,PT,G,1,,,,,,,,,,,,10,,,,,,,,
150,CALFERZINC P,PT,G,1,,,,,,,,3,,,7,,,,,,,,22,
97,DAP,MP,G,1,,18,18,,,,46,,,,,,,,,,,,,
663,FE FERTIMENORES,PT,G,1,,4,,,,,10,,13,7,7,1,0.5,,,,,,2.5,
141,FE SULFATO CALCIO P,PT,G,1,,,,,,,,,26.4,1.5,10.8,,,,,,,2.8,,
643,FE SULFATO ZINC 22,PT,G,1,,,,,,,,,,,,,,,,,,,22,
300,K2K,PT,G,1,5,,,,,,,28.76,2.84,,3.42,,,,,,,1,,0.31
144,KCL,MP,G,1,,,,,,,,60,,,,,,,,,,,,
75,KIESERITA,MP,G,1,,,,,,,,,,25,20,,,,,,,,,
154,MAGNE 3,PT,G,1,,,,,,,,3,4.5,27,5.5,,,,,,,13,,
72,MAP,MP,G,1,,11,11,,,,52,,,,,,,,,,,,,
411,MF 0-15-15+EM,PT,G,1,,0,,,,,15,15,,,,,,,,,,,,
137,MF 10-20-20,PT,G,1,,10,,,,,20,20,,,,,,,,,,,,
86,MF 10-30-10,PT,G,1,,10,,,,,30,10,,,,,,,,,,,,
407,MF 10N-10P-20K+EM,PT,G,1,,10,,,,,10,20,,,,,,,,,,,,
396,MF 10N-15P-20K+EM,PT,G,1,,10,,,,,15,20,,,,,,,,,,,,
495,MF 10N-15P-29K+EM,PT,G,1,,10,,,,,15,29,,,,,,,,,,,,
408,MF 10N-20P-20K+EM,PT,G,1,,10,,,,,20,20,,,,,,,,,,,,
464,MF 10N-20P-28K+EM,PT,G,1,,10,,,,,20,28,,,,,,,,,,,,
423,MF 10N-20P-30K+EM,PT,G,1,,10,,,,,20,30,,,,,,,,,,,,
406,MF 10N-24P-4K+EM,PT,G,1,,10,,,,,24,4,,,,,,,,,,,,
387,MF 10N-28P-6K+EM,PT,G,1,,10,,,,,28,6,,,,,,,,,,,,
390,MF 10N-6P-4K + EM,PT,G,1,,10,,,,,6,4,,,,,,,,,,,,
670,MF 10N-9P-30K,PT,G,1,,10,,,,,9,30,,,,,,,,,,,,
458,MF 10N-9P-30K+EM,PT,G,1,,10,,,,,9,30,,,,,,,,,,,,
388,MF 11-5-27,PT,G,1,,11,,,,,5,27,,,,,,,,,,,,
543,MF 11N-29P-12K+EM,PT,G,1,,11,,,,,29,12,,,,,,,,,,,,
268,MF 12-24-12,PT,G,1,,12,,,,,24,12,,,,,,,,,,,,
317,MF 12-24-12+EM,PT,G,1,,12,,,,,24,12,,,,,,,,,,,,
318,MF 12-7-12+EM,PT,G,1,,12,,,,,7,12,,,,,,,,,,,,
496,MF 12N-30P-10K+EM,PT,G,1,,12,,,,,30,10,,,,,,,,,,,,
490,MF 13N-26P-10K+ EM,PT,G,1,,13,,,,,26,10,,,,,,,,,,,,
419,MF 13N-7P-12K+EM,PT,G,1,,13,,,,,7,12,,,,,,,,,,,,
381,MF 14-3-19-7Ca+EM,PT,G,1,,14,,,,,3,19,7,,,,,,,,,,,
433,MF 14N-4P-23K+EM,PT,G,1,,14,,,,,4,23,,,,,,,,,,,,
516,MF 14N-4P-24K+EM,PT,G,1,,14,,,,,4,24,,,,,,,,,,,,
85,MF 15-15-15,PT,G,1,,15,,,,,15,15,,,,,,,,,,,,
462,MF 15N-4P-23K+EM,PT,G,1,,15,,,,,4,23,,,,,,,,,,,,
426,MF 15N-6P-8K+EM,PT,G,1,,15,,,,,6,8,,,,,,,,,,,,
612,MF 16-26-12,PT,G,1,,16,,,,,23,12,,,,,,,,,,,,
517,MF 16N-16P-16K+EM,PT,G,1,,16,,,,,16,16,,,,,,,,,,,,
441,MF 16N-17P-0K-7Ca+EM,PT,G,1,,16,,,,,17,0,7,,,,,,,,,,,
405,MF 16N-3P-14K+EM,PT,G,1,,16,,,,,3,14,,,,,,,,,,,,
84,MF 17-6-18-2-1,PT,G,1,,17,,,,,6,18,2,1,,,,,,,,,,
402,MF 17-6-18-6+EM,PT,G,1,,17,,,,,6,18,6,,,,,,,,,,,
401,MF 17-8-11+EM+CO,PT,G,1,,17,,,,,8,11,,,,,,,,,,,,
478,MF 17N-4P-23K+EM,PT,G,1,,17,,,,,4,23,,,,,,,,,,,,
477,MF 17N-5P-7K+EM,PT,G,1,,17,,,,,5,7,,,,,,,,,,,,
83,MF 18-18-18,PT,G,1,,18,,,,,18,18,,,,,,,,,,,,
353,MF 18-8-5-4+EM,PT,G,1,,18,,,,,8,5,4,,,,,,,,,,,
301,MF 19-1-2-1+EM,PT,G,1,,19,,,,,1,2,1,,,,,,,,,,,
304,MF 19-5-9-5+EM,PT,G,1,,19,,,,,5,6,5,,,,,,,,,,,
384,MF 19N-1P-3K + MENORES,PT,G,1,,19,,,,,1,3,,,,,,,,,,,,
442,MF 19N-3P-18K+EM,PT,G,1,,19,,,,,3,18,,,,,,,,,,,,
284,MF 20-17-18+TCM,PT,G,1,,20,,,,,17,18,,,,,,,,,,,,
529,MF 20N-0P-30K-3S,PT,G,1,,20,,,,,0,30,,,3,,,,,,,,,
519,MF 20N-3P-15K+EM,PT,G,1,,20,,,,,3,15,,,,,,,,,,,,
457,MF 20N-6P-0K-5CA+EM,PT,G,1,,20,,,,,6,0,5,,,,,,,,,,,
631,MF 20N-8P-10K+EM,PT,G,1,,20,,,,,8,10,,,,,,,,,,,,
172,MF 21-1-2+EM,PT,G,1,,21,,,,,1,2,,,,,,,,,,,,
357,MF 21-5-10-6S+EM,PT,G,1,,21,,,,,5,10,,,6,,,,,,,,,
415,MF 21N-2P-8K+EM,PT,G,1,,21,,,,,2,8,,,,,,,,,,,,
316,MF 21N-3P-8K-3Ca+MENORES,PT,G,1,,21,,,,,3,8,3,,,,,,,,,,,
307,MF 21N-4P-5K-3Ca+MENORES,PT,G,1,,21,,,,,4,5,3,,,,,,,,,,,
497,MF 21N-5P-10K+EM,PT,G,1,,21,,,,,5,10,,,,,,,,,,,,
471,MF 21N-5P-9K+EM,PT,G,1,,21,,,,,5,9,,,,,,,,,,,,
632,MF 21N-9P-9K+EM,PT,G,1,,21,,,,,9,9,,,,,,,,,,,,
315,MF 22N 3P 13K 4S+MENORES,PT,G,1,,21,,,,,3,13,,,4,,,,,,,,,
524,MF 22N-0P-25K-3S,PT,G,1,,22,,,,,0,25,,,3,,,,,,,,,
526,MF 22N-0P-3K+EM,PT,G,1,,22,,,,,0,3,,,,,,,,,,,,
511,MF 22N-4P-8K+EM,PT,G,1,,22,,,,,4,8,,,,,,,,,,,,
525,MF 22N-5P-13K+EM,PT,G,1,,22,,,,,5,13,,,,,,,,,,,,
456,MF 22N-6P-3K+EM,PT,G,1,,22,,,,,6,3,,,,,,,,,,,,
398,MF 22N-6P-7Ca+EM,PT,G,1,,22,,,,,6,0,7,,,,,,,,,,,
633,MF 22N-6P-7K+EM,PT,G,1,,22,,,,,6,7,,,,,,,,,,,,
634,MF 22N-9P-9K+EM,PT,G,1,,22,,,,,9,9,,,,,,,,,,,,
20,MF 23-3-20,PT,G,1,,23,,,,,3,20,3,,,,,,,,,,,
618,MF 23N 6P 8K + EM,PT,G,1,,23,,,,,6,8,,,,,,,,,,,,
394,MF 23N-3P-20K+EM,PT,G,1,,23,,,,,3,20,,,,,,,,,,,,
506,MF 23N-5P-6K+EM,PT,G,1,,23,,,,,5,6,,,,,,,,,,,,
508,MF 23N-6P-8K+EM,PT,G,1,,23,,,,,6,8,,,,,,,,,,,,
308,MF 24-0-17+EM,PT,G,1,,24,,,,,0,17,,,,,,,,,,,,
