Ext. 1 detalle	Desc. grupo impositivo	Item	Referencia	Desc. item	Grupo impositivo	Tipo inventario	Desc. tipo inventario	Tipo item	Manufactura	Extensión	Maneja lote	U.M. adic.	Asignación lote	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000001	MP0001	SULFATO DE CALCIO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000002	MP0002	UREA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000003	MP0003	ULEXITA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000004	MP0004	SULFATO DE ZINC 22% X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000005	MP0005	SULFATO DE ZINC 35% X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000006	MP0006	SULFATO DE MAGNESIO HEPTA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000007	MP0007	SULFATO DE HIERRO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000008	MP0008	SULFATO DE COBRE 22% X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000009	MP0009	SAM GRANULADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000010	MP0010	SILICATO DE SODIO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000011	MP0011	SAM ESTANDAR X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000012	MP0012	OXIDO DE ZINC X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000013	MP0013	OXIDO DE MAGNESIO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000014	MP0014	PQ 16-16-16 X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000015	MP0015	MELAZA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000016	MP0016	MAP GRANULADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000017	MP0017	KIESERITA EN POLVO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000018	MP0018	KIESERITA GRA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000019	MP0019	DKP X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000020	MP0022	DAP GRANULADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000021	MP0023	CITRATO DE ZINC X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000022	MP0024	CARBONATO DE CALCIO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000023	MP0025	CAOLIN GRIS X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000024	MP0026	BENTONITA ROJA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000025	MP0027	PQ 12-24-12 X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000026	MP0028	CAL DOLOMITA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	SIN IVA SIN RETENCIONES	0000027	MP0029	BORO GRANULADO SN X KILO	000 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000028	MP0030	AZUFRE MALLA 100 X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000029	MP0031	ACIDO BORICO EN POLVO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000030	MP0032	KCL STANDAR X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000031	MP0033	KCL GRANULADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
