dossier,ft_count,hs_count,flag_ft,flag_hs
01_1-CRECIMIENTO,3,3,,
02_2-AVANCE,3,3,,
03_3-PRODUCTOR,3,4,,
04_10-20-20,1,1,,
05_10-30-10,1,1,,
06_13-5-27,1,1,,
07_15-15-15,2,1,,
08_17-6-18-2,2,1,,
09_18-18-18,2,1,,
10_25-4-24,3,1,,
11_AFOSK,4,1,,
12_AZUFREA MALLA 100,1,1,,
13_B-ZINC 15,3,1,,
14_BIOCalfer,1,1,,
15_BORO GRANULADO,5,4,,
16_CALFERCOBRE,2,1,,
17_CALFERCORRECTIVO,7,1,,
18_CAL DESARROLLO,1,2,,
19_CALFER FLORACION,1,2,,
20_CALFER LLENADO,3,4,,
21_CALFER MAGNESIO,3,1,,
22_CALFER MENORES,6,6,,
23_CALFERZINC-P,3,2,,
24_FERTIMENORES,4,3,,
25_FERTICORRECTIVO,1,1,,
26_FOLLAJE,0,1,missing_ft,
27_FOSFORITA NEIVA,3,1,,
28_GANADERO,0,1,missing_ft,
29_K2K,4,2,,
30_KIESERITA P,1,1,,
31_MAGNE-3,1,1,,
32_MAGNE 3,3,3,,
33_MICRON-C,1,1,,
34_MICRON CS,1,1,,
35_N4,0,1,missing_ft,
36_NUCLEO 4,1,1,,
37_NUCLEO CAMASI,1,1,,
38_NUCLEO CAMASI YARA,1,1,,
39_NUCLEO FOSFORO-1,1,1,,
40_NUCLEO MAGNE3,1,0,,missing_hs
41_NUCLEO MAGNESIO-AZUFRE,1,0,,missing_hs
42_NUCLEO MAGNESIO-SILICIO,1,0,,missing_hs
43_NUCLEO MAGNESIO-S,1,0,,missing_hs
44_NUCLEO N,1,1,,
45_PRODUCCION 17,3,0,,missing_hs
46_RAIFOS 20,8,4,,
47_R-VITAL 17,0,1,missing_ft,
48_SILICATO DE MAGNESIO,1,1,,
49_SILIMAGRAM,3,1,,
50_SOLURaiFOS,4,1,,
51_SUELO-Ca,1,1,,
52_SULFA K 50,3,1,,
53_SULFATO DE POTASIO,1,1,,
54_SULFATO DE ZINC AL 35%,1,1,,
55_SULFATO ZINC 22,1,1,,
56_TODERO,1,1,,
57_YESO EN POLVO,1,1,,
58_YESO GRANULADO,1,1,,
59_ZUELOCa,2,3,,
60_BIOPLANTAS,3,1,,
61_ORGANIC_M,0,0,missing_ft,missing_hs
