dossier,tipo,origen,destino_o_carpeta,resultado
06_13-5-27,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\04_Hoja d Seguridad_13-5-27.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\06_13-5-27\04_Hoja_Seguridad\04_Hoja d Seguridad_13-5-27.docx,copied
12_AZUFREA MALLA 100,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\FICHA TECNICA  AZUFRE MALLA 100.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\12_AZUFREA MALLA 100\02_Ficha_Tecnica\FICHA TECNICA  AZUFRE MALLA 100.docx,copied
12_AZUFREA MALLA 100,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD -  AZUFREA MALLA 100.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\12_AZUFREA MALLA 100\04_Hoja_Seguridad\HOJA DE SEGURIDAD -  AZUFREA MALLA 100.docx,copied
14_BIOCalfer,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\10_Ficha Técnica BIOCalfer.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\14_BIOCalfer\02_Ficha_Tecnica\10_Ficha Técnica BIOCalfer.docx,copied
14_BIOCalfer,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad BIOCALFER.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\14_BIOCalfer\04_Hoja_Seguridad\Hoja de Seguridad BIOCALFER.docx,copied
25_FERTICORRECTIVO,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\ya10_Ficha Técnica FERTICORRECTIVO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\25_FERTICORRECTIVO\02_Ficha_Tecnica\ya10_Ficha Técnica FERTICORRECTIVO.docx,copied
25_FERTICORRECTIVO,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad FERTICORRECTIVO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\25_FERTICORRECTIVO\04_Hoja_Seguridad\Hoja de Seguridad FERTICORRECTIVO.docx,copied
26_FOLLAJE,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad FOLLAJE.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\26_FOLLAJE\04_Hoja_Seguridad,skip_dest_has_files
28_GANADERO,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad GANADERO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\28_GANADERO\04_Hoja_Seguridad\Hoja de Seguridad GANADERO.docx,copied
30_KIESERITA P,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD KIESERITA P.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\30_KIESERITA P\04_Hoja_Seguridad\HOJA DE SEGURIDAD KIESERITA P.docx,copied
31_MAGNE-3,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\ya FICHA TECNICA  MAGNE-3.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\31_MAGNE-3\02_Ficha_Tecnica\ya FICHA TECNICA  MAGNE-3.docx,copied
31_MAGNE-3,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD -  MAGNE 3.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\31_MAGNE-3\04_Hoja_Seguridad\HOJA DE SEGURIDAD -  MAGNE 3.docx,copied
33_MICRON-C,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\251030_FT MICRON C.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\33_MICRON-C\02_Ficha_Tecnica\251030_FT MICRON C.pdf,copied
33_MICRON-C,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD - MICRON-C.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\33_MICRON-C\04_Hoja_Seguridad\HOJA DE SEGURIDAD - MICRON-C.docx,copied
34_MICRON CS,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\251030_FT MICRON CS.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\34_MICRON CS\02_Ficha_Tecnica\251030_FT MICRON CS.docx,copied
34_MICRON CS,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD - MICRON CS.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\34_MICRON CS\04_Hoja_Seguridad\HOJA DE SEGURIDAD - MICRON CS.docx,copied
35_N4,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad N4.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\35_N4\04_Hoja_Seguridad\Hoja de Seguridad N4.docx,copied
36_NUCLEO 4,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\250718_FT NUCLEO 4.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\36_NUCLEO 4\02_Ficha_Tecnica\250718_FT NUCLEO 4.pdf,copied
36_NUCLEO 4,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad Nucleo 4.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\36_NUCLEO 4\04_Hoja_Seguridad\Hoja de Seguridad Nucleo 4.docx,copied
37_NUCLEO CAMASI,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\250718_FT NUCLEO CAMASI.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\37_NUCLEO CAMASI\02_Ficha_Tecnica\250718_FT NUCLEO CAMASI.pdf,copied
37_NUCLEO CAMASI,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HDS NÚCLEO CAMASI 2 (1).docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\37_NUCLEO CAMASI\04_Hoja_Seguridad\HDS NÚCLEO CAMASI 2 (1).docx,copied
38_NUCLEO CAMASI YARA,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\251111_FT NUCLEO CAMASI YARA.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\38_NUCLEO CAMASI YARA\02_Ficha_Tecnica\251111_FT NUCLEO CAMASI YARA.pdf,copied
38_NUCLEO CAMASI YARA,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HS DE NÚCLEO CAMASI YARA.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\38_NUCLEO CAMASI YARA\04_Hoja_Seguridad\HS DE NÚCLEO CAMASI YARA.pdf,copied
39_NUCLEO FOSFORO-1,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\250718_FT NUCLEO FOSFORO-1.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\39_NUCLEO FOSFORO-1\02_Ficha_Tecnica\250718_FT NUCLEO FOSFORO-1.pdf,copied
39_NUCLEO FOSFORO-1,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD -NUCLEO FOSFORO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\39_NUCLEO FOSFORO-1\04_Hoja_Seguridad\HOJA DE SEGURIDAD -NUCLEO FOSFORO.docx,copied
40_NUCLEO MAGNE3,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\250718_FT NUCLEO MAGNE3.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\40_NUCLEO MAGNE3\02_Ficha_Tecnica\250718_FT NUCLEO MAGNE3.pdf,copied
