mp,legacy_match_count,ejemplo
ABONO ORGANICO,1,202_CALFERQUIM/07 Hojas de Seguridad/Certificado Pedido 6620093121 ABONO ORGANICO.pdf
ACIDO FULVICO 60,0,
ACIDO FULVICO 80,0,
AMINOACIDOS 43,0,
AMINOACIDOS 80,0,
ARCICOL,0,
AZUFRE,4,202_CALFERQUIM/07 Hojas de Seguridad/HOJA DE SEGURIDAD -  AZUFREA MALLA 100.docx
AZUFRE M100,0,
BASE 1,0,
BENTONITA CALCICA,0,
BENTONITA GRIS,0,
BENTONITA ROJA,0,
BENTONITA SODICA,0,
BIOCANE,0,
CAL APAGADA,0,
CALFOS G,0,
CARBONATO CALCIO,0,
CARBONITRO,0,
CITRATO ZINC,1,202_CALFERQUIM/07 Hojas de Seguridad/01) Citrato de Zinc- Trihidratado-TZC HDS SUCRO 2014.pdf
COLORANTE,0,
EXTRACTO ALGAS,0,
FOSFORITA NEIVA,7,202_CALFERQUIM/07 Hojas de Seguridad/HOJA DE SEGURIDAD - FOSFORITA NEIVA.docx
HIDROXIDO CALCIO,0,
LEONARDITA,0,
NITRABOR,0,
NUCLEO HIERRO,0,
OXIDO ZINC,0,
OXIDO ZINC 70,0,
PANTEKALI,0,
POLVILLO KCL GRANULADO,0,
PRODUCTO A,0,
ROCA FOSFORICA-24,0,
ROCA FOSFORICA-26,0,
ROCA FOSFORICA-30,0,
ROCA FOSFÓRICA,0,
ROCA FOSFÓRICA-28,0,
SAM,3,202_CALFERQUIM/07 Hojas de Seguridad/004 - FDS SAM (1).pdf
SAM STD,0,
SILICATO HIERRO,0,
SILICATO SODIO,2,202_CALFERQUIM/07 Hojas de Seguridad/09) Silicato de Sodio  NP-41  JADESI SA.pdf
