codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
35,SILIMAGRAM,SILIMAGRAN,N,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,N-NH4,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,N-NO3,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,N-org,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,N-ur,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,P,5,3.7818,-1.2182,41.6,1100
35,SILIMAGRAM,SILIMAGRAN,K,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,CaO,0,5.2364,5.2364,57.6,1100
35,SILIMAGRAM,SILIMAGRAN,MgO,30,1.5909,-28.4091,17.5,1100
35,SILIMAGRAM,SILIMAGRAN,S,0,1.2727,1.2727,14,1100
35,SILIMAGRAM,SILIMAGRAN,B,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,Co,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,Cu,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,Fe,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,Mn,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,Mo,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,SiO2,30,0,-30,0,1100
35,SILIMAGRAM,SILIMAGRAN,Zn,0,0,0,0,1100
35,SILIMAGRAM,SILIMAGRAN,Na,0,0,0,0,1100
