codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
83,18-18-18,MF 18-18-18,N,18,16.88,-1.12,168.8,1000
83,18-18-18,MF 18-18-18,N-NH4,0,6.3,6.3,63,1000
83,18-18-18,MF 18-18-18,N-NO3,0,0,0,0,1000
83,18-18-18,MF 18-18-18,N-org,0,0,0,0,1000
83,18-18-18,MF 18-18-18,N-ur,0,10.58,10.58,105.8,1000
83,18-18-18,MF 18-18-18,P,18,16.1,-1.9,161,1000
83,18-18-18,MF 18-18-18,K,18,16.8,-1.2,168,1000
83,18-18-18,MF 18-18-18,CaO,0,0,0,0,1000
83,18-18-18,MF 18-18-18,MgO,0,0,0,0,1000
83,18-18-18,MF 18-18-18,S,0,0,0,0,1000
83,18-18-18,MF 18-18-18,B,0,0,0,0,1000
83,18-18-18,MF 18-18-18,Co,0,0,0,0,1000
83,18-18-18,MF 18-18-18,Cu,0,0,0,0,1000
83,18-18-18,MF 18-18-18,Fe,0,0,0,0,1000
83,18-18-18,MF 18-18-18,Mn,0,0,0,0,1000
83,18-18-18,MF 18-18-18,Mo,0,0,0,0,1000
83,18-18-18,MF 18-18-18,SiO2,0,0,0,0,1000
83,18-18-18,MF 18-18-18,Zn,0,0,0,0,1000
83,18-18-18,MF 18-18-18,Na,0,0,0,0,1000
