codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
393,BIOPLANTAS,BIOPLANTAS,N,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,N-NH4,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,N-NO3,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,N-org,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,N-ur,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,P,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,K,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,CaO,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,MgO,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,S,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,B,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,Co,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,Cu,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,Fe,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,Mn,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,Mo,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,SiO2,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,Zn,0,0,0,0,1000
393,BIOPLANTAS,BIOPLANTAS,Na,0,0,0,0,1000
