codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
311,CALFERCORRECTIVO,CALFERCORRECTIVO,N,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,N-NH4,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,N-NO3,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,N-org,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,N-ur,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,P,0,3.9,3.9,39,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,K,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,CaO,0,17.2,17.2,172,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,MgO,0,1.4,1.4,14,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,S,0,2.6,2.6,26,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,B,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,Co,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,Cu,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,Fe,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,Mn,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,Mo,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,SiO2,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,Zn,0,0,0,0,1000
311,CALFERCORRECTIVO,CALFERCORRECTIVO,Na,0,0,0,0,1000
