codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,N,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,N-NH4,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,N-NO3,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,N-org,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,N-ur,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,P,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,K,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,CaO,25,22.8571,-2.1429,240,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,MgO,3,1.1905,-1.8095,12.5,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,S,1,0.9524,-0.0476,10,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,B,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,Co,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,Cu,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,Fe,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,Mn,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,Mo,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,SiO2,14,0,-14,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,Zn,0,0,0,0,1050
563,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,Na,0,0,0,0,1050
