codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,N,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,N-NH4,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,N-NO3,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,N-org,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,N-ur,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,P,0,17.7273,17.7273,195,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,K,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,CaO,0,26.0909,26.0909,287,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,MgO,0,1.8636,1.8636,20.5,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,S,0,0.9091,0.9091,10,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,B,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,Co,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,Cu,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,Fe,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,Mn,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,Mo,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,SiO2,0,4.2727,4.2727,47,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,Zn,0,0,0,0,1100
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,Na,0,0,0,0,1100
