codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
155,RAIFOS 20,RAIFOS 20,N,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,N-NH4,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,N-NO3,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,N-org,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,N-ur,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,P,20,14.0833,-5.9167,169,1200
155,RAIFOS 20,RAIFOS 20,K,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,CaO,23,19.5,-3.5,234,1200
155,RAIFOS 20,RAIFOS 20,MgO,1.5,1.0417,-0.4583,12.5,1200
155,RAIFOS 20,RAIFOS 20,S,1,0.8333,-0.1667,10,1200
155,RAIFOS 20,RAIFOS 20,B,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,Co,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,Cu,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,Fe,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,Mn,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,Mo,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,SiO2,21,0,-21,0,1200
155,RAIFOS 20,RAIFOS 20,Zn,0,0,0,0,1200
155,RAIFOS 20,RAIFOS 20,Na,0,0,0,0,1200
