codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
86,10-30-10,MF 10-30-10,N,10,10.8,0.8,108,1000
86,10-30-10,MF 10-30-10,N-NH4,0,10.8,10.8,108,1000
86,10-30-10,MF 10-30-10,N-NO3,0,0,0,0,1000
86,10-30-10,MF 10-30-10,N-org,0,0,0,0,1000
86,10-30-10,MF 10-30-10,N-ur,0,0,0,0,1000
86,10-30-10,MF 10-30-10,P,30,27.6,-2.4,276,1000
86,10-30-10,MF 10-30-10,K,10,9,-1,90,1000
86,10-30-10,MF 10-30-10,CaO,0,0,0,0,1000
86,10-30-10,MF 10-30-10,MgO,0,0,0,0,1000
86,10-30-10,MF 10-30-10,S,0,0,0,0,1000
86,10-30-10,MF 10-30-10,B,0,0,0,0,1000
86,10-30-10,MF 10-30-10,Co,0,0,0,0,1000
86,10-30-10,MF 10-30-10,Cu,0,0,0,0,1000
86,10-30-10,MF 10-30-10,Fe,0,0,0,0,1000
86,10-30-10,MF 10-30-10,Mn,0,0,0,0,1000
86,10-30-10,MF 10-30-10,Mo,0,0,0,0,1000
86,10-30-10,MF 10-30-10,SiO2,0,0,0,0,1000
86,10-30-10,MF 10-30-10,Zn,0,0,0,0,1000
86,10-30-10,MF 10-30-10,Na,0,0,0,0,1000
