codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
161,FERTIMENORES,FERTIMENORES,N,4,0,-4,0,1150
161,FERTIMENORES,FERTIMENORES,N-NH4,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,N-NO3,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,N-org,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,N-ur,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,P,10,6.1043,-3.8957,70.2,1150
161,FERTIMENORES,FERTIMENORES,K,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,CaO,13,17.0609,4.0609,196.2,1150
161,FERTIMENORES,FERTIMENORES,MgO,7,1.9391,-5.0609,22.3,1150
161,FERTIMENORES,FERTIMENORES,S,7,2.6783,-4.3217,30.8,1150
161,FERTIMENORES,FERTIMENORES,B,1,0,-1,0,1150
161,FERTIMENORES,FERTIMENORES,Co,0.5,0,-0.5,0,1150
161,FERTIMENORES,FERTIMENORES,Cu,0,0.1913,0.1913,2.2,1150
161,FERTIMENORES,FERTIMENORES,Fe,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,Mn,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,Mo,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,SiO2,0,0,0,0,1150
161,FERTIMENORES,FERTIMENORES,Zn,2.5,2.1304,-0.3696,24.5,1150
161,FERTIMENORES,FERTIMENORES,Na,0,0,0,0,1150
