codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
154,MAGNE-3,MAGNE 3,N,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,N-NH4,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,N-NO3,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,N-org,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,N-ur,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,P,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,K,3,2.7273,-0.2727,30,1100
154,MAGNE-3,MAGNE 3,CaO,4.5,5.0909,0.5909,56,1100
154,MAGNE-3,MAGNE 3,MgO,27,12.7273,-14.2727,140,1100
154,MAGNE-3,MAGNE 3,S,5.5,5.4091,-0.0909,59.5,1100
154,MAGNE-3,MAGNE 3,B,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,Co,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,Cu,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,Fe,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,Mn,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,Mo,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,SiO2,13,0.4545,-12.5455,5,1100
154,MAGNE-3,MAGNE 3,Zn,0,0,0,0,1100
154,MAGNE-3,MAGNE 3,Na,0,0,0,0,1100
