codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,N,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,N-NH4,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,N-NO3,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,N-org,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,N-ur,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,P,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,K,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,CaO,0,8.8,8.8,96.8,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,MgO,16,4.1545,-11.8455,45.7,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,S,8,8.4727,0.4727,93.2,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,B,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,Co,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,Cu,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,Fe,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,Mn,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,Mo,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,SiO2,0,2.9909,2.9909,32.9,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,Zn,0,0,0,0,1100
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,Na,0,0,0,0,1100
