dossier,producto_dossier,norm_dossier,codigo_producto_comp,producto_comp,estado_match_comp,motivo_match_comp,estado_list,detalle_list,archivo_detalle,archivo_resumen
01_1-CRECIMIENTO,1-CRECIMIENTO,1 CRECIMIENTO,x1,1-CRECIMIENTO,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
02_2-AVANCE,2-AVANCE,2 AVANCE,x2,2-AVANCE,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
02_NUCLEO CAMASI,NUCLEO CAMASI,NUCLEO CAMASI,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
03_3-PRODUCTOR,3-PRODUCTOR,3 PRODUCTOR,x3,3-PRODUCTOR,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
03_NUCLEO 4,NUCLEO 4,NUCLEO 4,65,NUCLEO 4,matched_exact,comp_exacto,balance_generado,filas_formula=5; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=0; mp_ambiguas=1,SGC_CALFERQUIM\05_Dossier_Productos\03_NUCLEO 4\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\03_NUCLEO 4\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
04_10-20-20,10-20-20,10 20 20,137,MF 10-20-20,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
04_25-4-24,25-4-24,25 4 24,82,MF 25-4-24,matched_exact,comp_exacto,balance_generado,filas_formula=4; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=1; mp_ambiguas=0,SGC_CALFERQUIM\05_Dossier_Productos\04_25-4-24\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\04_25-4-24\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
05_10-30-10,10-30-10,10 30 10,86,MF 10-30-10,matched_exact,comp_exacto,balance_generado,filas_formula=3; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=1; mp_ambiguas=0,SGC_CALFERQUIM\05_Dossier_Productos\05_10-30-10\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\05_10-30-10\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
05_18-18-18,18-18-18,18 18 18,83,MF 18-18-18,matched_exact,comp_exacto,balance_generado,filas_formula=4; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=1; mp_ambiguas=0,SGC_CALFERQUIM\05_Dossier_Productos\05_18-18-18\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\05_18-18-18\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
06_13-5-27,13-5-27,13 5 27,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
06_17-6-18-2,17-6-18-2,17 6 18 2,21,MF-17-6-18-2,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
07_15-15-15,15-15-15,15 15 15,85,MF 15-15-15,matched_exact,comp_exacto,balance_generado,filas_formula=4; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=1; mp_ambiguas=0,SGC_CALFERQUIM\05_Dossier_Productos\07_15-15-15\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\07_15-15-15\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
08_BORO GRANULADO,BORO GRANULADO,BORO GRANULADO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
11_AFOSK,AFOSK,AFOSK,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
12_AZUFREA MALLA 100,AZUFREA MALLA 100,AZUFREA MALLA 100,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
13_B-ZINC 15,B-ZINC 15,B ZINC 15,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
16_CALFERCOBRE,CALFERCOBRE,CALFERCOBRE,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
17_CALFERCORRECTIVO,CALFERCORRECTIVO,CALFERCORRECTIVO,311,CALFERCORRECTIVO,matched_exact,comp_exacto,balance_generado,filas_formula=6; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=0; mp_ambiguas=2,SGC_CALFERQUIM\05_Dossier_Productos\17_CALFERCORRECTIVO\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\17_CALFERCORRECTIVO\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
18_CAL DESARROLLO,CAL DESARROLLO,CAL DESARROLLO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
19_CALFER FLORACION,CALFER FLORACION,CALFER FLORACION,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
20_CALFER LLENADO,CALFER LLENADO,CALFER LLENADO,x4,CALFER LLENADO,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
22_CALFER MENORES,CALFER MENORES,CALFER MENORES,x5,CALFER MENORES,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
23_CALFERZINC-P,CALFERZINC-P,CALFERZINC P,150,CALFERZINC P,matched_exact,comp_exacto,balance_generado,filas_formula=4; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=0; mp_ambiguas=1,SGC_CALFERQUIM\05_Dossier_Productos\23_CALFERZINC-P\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\23_CALFERZINC-P\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
24_FERTIMENORES,FERTIMENORES,FERTIMENORES,161,FERTIMENORES,matched_override,override_manual_conservador,balance_generado,filas_formula=11; masa_total_kg=1150; masa_formulacion_kg=1150; mp_sin_comp=0; mp_ambiguas=3,SGC_CALFERQUIM\05_Dossier_Productos\24_FERTIMENORES\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\24_FERTIMENORES\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
25_FERTICORRECTIVO,FERTICORRECTIVO,FERTICORRECTIVO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
26_FOLLAJE,FOLLAJE,FOLLAJE,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
27_FOSFORITA NEIVA,FOSFORITA NEIVA,FOSFORITA NEIVA,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
28_GANADERO,GANADERO,GANADERO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
29_K2K,K2K,K2K,300,K2K,matched_exact,comp_exacto,balance_generado,filas_formula=8; masa_total_kg=1200; masa_formulacion_kg=1200; mp_sin_comp=0; mp_ambiguas=0,SGC_CALFERQUIM\05_Dossier_Productos\29_K2K\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\29_K2K\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
30_KIESERITA P,KIESERITA P,KIESERITA P,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
31_MAGNE-3,MAGNE-3,MAGNE 3,154,MAGNE 3,matched_exact,comp_exacto,balance_generado,filas_formula=8; masa_total_kg=1100; masa_formulacion_kg=1100; mp_sin_comp=0; mp_ambiguas=2,SGC_CALFERQUIM\05_Dossier_Productos\31_MAGNE-3\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\31_MAGNE-3\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
33_MICRON-C,MICRON-C,MICRON C,164,MICRON C,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
34_MICRON CS,MICRON CS,MICRON CS,188,MICRON CS,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
38_NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,NUCLEO CAMASI YARA,563,NUCLEO CAMASI YARA,matched_exact,comp_exacto,balance_generado,filas_formula=5; masa_total_kg=1050; masa_formulacion_kg=1050; mp_sin_comp=0; mp_ambiguas=2,SGC_CALFERQUIM\05_Dossier_Productos\38_NUCLEO CAMASI YARA\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\38_NUCLEO CAMASI YARA\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
39_NUCLEO FOSFORO-1,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,574,NUCLEO FOSFORO 1,matched_exact,comp_exacto,balance_generado,filas_formula=6; masa_total_kg=1100; masa_formulacion_kg=1100; mp_sin_comp=0; mp_ambiguas=1,SGC_CALFERQUIM\05_Dossier_Productos\39_NUCLEO FOSFORO-1\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\39_NUCLEO FOSFORO-1\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
40_NUCLEO MAGNE3,NUCLEO MAGNE3,NUCLEO MAGNE3,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
41_NUCLEO MAGNESIO-AZUFRE,NUCLEO MAGNESIO-AZUFRE,NUCLEO MAGNESIO AZUFRE,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
42_NUCLEO MAGNESIO-SILICIO,NUCLEO MAGNESIO-SILICIO,NUCLEO MAGNESIO SILICIO,604,NUCLEO MAGNESIO-SILICIO,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
43_NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO S,803,NUCLEO MAGNESIO-S,matched_exact,comp_exacto,balance_generado,filas_formula=5; masa_total_kg=1100; masa_formulacion_kg=1100; mp_sin_comp=0; mp_ambiguas=1,SGC_CALFERQUIM\05_Dossier_Productos\43_NUCLEO MAGNESIO-S\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\43_NUCLEO MAGNESIO-S\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
44_NUCLEO N,NUCLEO N,NUCLEO N,,,ambiguous_comp,multiples_productos_comp,sin_balance,sin_correspondencia_comp,,
45_PRODUCCION 17,PRODUCCION 17,PRODUCCION 17,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
46_RAIFOS 20,RAIFOS 20,RAIFOS 20,155,RAIFOS 20,matched_exact,comp_exacto,balance_generado,filas_formula=7; masa_total_kg=1200; masa_formulacion_kg=1200; mp_sin_comp=0; mp_ambiguas=2,SGC_CALFERQUIM\05_Dossier_Productos\46_RAIFOS 20\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\46_RAIFOS 20\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
47_R-VITAL 17,R-VITAL 17,R VITAL 17,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
48_SILICATO DE MAGNESIO,SILICATO DE MAGNESIO,SILICATO DE MAGNESIO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
51_SUELO-Ca,SUELO-Ca,SUELO CA,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
52_SULFA K 50,SULFA K 50,SULFA K 50,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
53_SULFATO DE POTASIO,SULFATO DE POTASIO,SULFATO DE POTASIO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
54_SULFATO DE ZINC AL 35%,SULFATO DE ZINC AL 35%,SULFATO DE ZINC AL 35%,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
55_SULFATO ZINC 22,SULFATO ZINC 22,SULFATO ZINC 22,997,SULFATO ZINC 22,matched_override,override_manual_conservador,balance_generado,filas_formula=4; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=0; mp_ambiguas=1,SGC_CALFERQUIM\05_Dossier_Productos\55_SULFATO ZINC 22\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\55_SULFATO ZINC 22\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
56_TODERO,TODERO,TODERO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
57_YESO EN POLVO,YESO EN POLVO,YESO EN POLVO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
58_YESO GRANULADO,YESO GRANULADO,YESO GRANULADO,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
59_ZUELOCa,ZUELOCa,ZUELOCA,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
60_BIOPLANTAS,BIOPLANTAS,BIOPLANTAS,393,BIOPLANTAS,matched_exact,comp_exacto,balance_generado,filas_formula=1; masa_total_kg=1000; masa_formulacion_kg=1000; mp_sin_comp=0; mp_ambiguas=0,SGC_CALFERQUIM\05_Dossier_Productos\60_BIOPLANTAS\05_Balance_Masas\Balance_Masas_Generado_desde_list_comp_20260317.csv,SGC_CALFERQUIM\05_Dossier_Productos\60_BIOPLANTAS\05_Balance_Masas\Resumen_Nutrientes_Generado_desde_list_comp_20260317.csv
61_ORGANIC_M,ORGANIC_M,ORGANIC M,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
62_SILIMAGRAN 30,SILIMAGRAN 30,SILIMAGRAN 30,,,missing_comp,sin_producto_en_comp,sin_balance,sin_correspondencia_comp,,
63_CALFERMAGNESIO,CALFERMAGNESIO,CALFERMAGNESIO,26,CALFERMAGNESIO,matched_exact,comp_exacto,sin_formula_en_list,codigo_en_comp_sin_ITEM_PADRE_en_list,,
