dossier_id,materia_prima,dossier_slug,ft_referencia_base,hs_estado,hs_referencia_preliminar,ruta_dossier_asignada
MP-001,ACIDO BORICO,MP-001_ACIDO_BORICO,0_FT.MP_ACIDO BORICO.pdf,preliminar_encontrada,HDS ACIDO BORICO PQP .pdf,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-001_ACIDO_BORICO/
MP-002,ALGAS MARINAS,MP-002_ALGAS_MARINAS,0_FT.MP_ALGAS MARINA.pdf,pendiente_busqueda,,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-002_ALGAS_MARINAS/
MP-003,CAL DOLOMITA,MP-003_CAL_DOLOMITA,0_FT.MP_CAL DOLOMITA.pdf,preliminar_encontrada,Ficha tecnica Dolomita +CAL DOLOMITA.pdf,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-003_CAL_DOLOMITA/
MP-004,CAOLIN,MP-004_CAOLIN,0_FT.MP_CAOLIN.pdf,preliminar_encontrada,ft_caolin_antec_c_98.pdf,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-004_CAOLIN/
MP-005,CLORURO DE POTASIO,MP-005_CLORURO_DE_POTASIO,0_FT.MP_CLORURO POTASIO G.pdf,preliminar_encontrada,Cloruro de Potasio-FDS-CO (1).pdf,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-005_CLORURO_DE_POTASIO/
MP-006,DAP (FOSFATO DIAMONICO),MP-006_DAP_FOSFATO_DIAMONICO,0_FT.MP_FOSFATO DIAMONICO G.pdf,pendiente_busqueda,,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-006_DAP_FOSFATO_DIAMONICO/
MP-007,DEXTROSA MONOHIDRATADA,MP-007_DEXTROSA_MONOHIDRATADA,0_FT.MP_DEXTROSA MONOHIDRATADA.pdf,pendiente_busqueda,,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-007_DEXTROSA_MONOHIDRATADA/
MP-008,DIOXIDO DE SILICIO,MP-008_DIOXIDO_DE_SILICIO,0_FT.MP_DIOXIDO SILICIO (Pirosil PS-300).pdf,pendiente_busqueda,,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-008_DIOXIDO_DE_SILICIO/
MP-009,DKP (FOSFATO DIPOTASICO),MP-009_DKP_FOSFATO_DIPOTASICO,0_FT.MP_FOSFATO DIPOTASICO_DKP.pdf,pendiente_busqueda,,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-009_DKP_FOSFATO_DIPOTASICO/
MP-010,EDTA,MP-010_EDTA,0_FT.MP_EDTA.pdf,pendiente_busqueda,,08_Base_Datos_Tecnica/01_Dossier_Materias_Primas/MP-010_EDTA/
