codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
65,NUCLEO 4,NUCLEO 4,N,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,N-NH4,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,N-NO3,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,N-org,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,N-ur,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,P,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,K,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,CaO,18,16.7,-1.3,167,1000
65,NUCLEO 4,NUCLEO 4,MgO,18,3.9,-14.1,39,1000
65,NUCLEO 4,NUCLEO 4,S,4,3.95,-0.05,39.5,1000
65,NUCLEO 4,NUCLEO 4,B,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,Co,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,Cu,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,Fe,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,Mn,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,Mo,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,SiO2,14,0,-14,0,1000
65,NUCLEO 4,NUCLEO 4,Zn,0,0,0,0,1000
65,NUCLEO 4,NUCLEO 4,Na,0,0,0,0,1000
