codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
123,BORO GRANULADO,BORO G,N,0,0,0,0,1100
123,BORO GRANULADO,BORO G,N-NH4,0,0,0,0,1100
123,BORO GRANULADO,BORO G,N-NO3,0,0,0,0,1100
123,BORO GRANULADO,BORO G,N-org,0,0,0,0,1100
123,BORO GRANULADO,BORO G,N-ur,0,0,0,0,1100
123,BORO GRANULADO,BORO G,P,0,0,0,0,1100
123,BORO GRANULADO,BORO G,K,0,0,0,0,1100
123,BORO GRANULADO,BORO G,CaO,0,1.8182,1.8182,20,1100
123,BORO GRANULADO,BORO G,MgO,0,1.1364,1.1364,12.5,1100
123,BORO GRANULADO,BORO G,S,0,0.9091,0.9091,10,1100
123,BORO GRANULADO,BORO G,B,10,0,-10,0,1100
123,BORO GRANULADO,BORO G,Co,0,0,0,0,1100
123,BORO GRANULADO,BORO G,Cu,0,0,0,0,1100
123,BORO GRANULADO,BORO G,Fe,0,0,0,0,1100
123,BORO GRANULADO,BORO G,Mn,0,0,0,0,1100
123,BORO GRANULADO,BORO G,Mo,0,0,0,0,1100
123,BORO GRANULADO,BORO G,SiO2,0,0,0,0,1100
123,BORO GRANULADO,BORO G,Zn,0,0,0,0,1100
123,BORO GRANULADO,BORO G,Na,0,0,0,0,1100
