codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
300,K2K,K2K,N,0,0,0,0,1200
300,K2K,K2K,N-NH4,0,0,0,0,1200
300,K2K,K2K,N-NO3,0,0,0,0,1200
300,K2K,K2K,N-org,0,0,0,0,1200
300,K2K,K2K,N-ur,0,0,0,0,1200
300,K2K,K2K,P,0,0,0,0,1200
300,K2K,K2K,K,28.76,25.2,-3.56,302.4,1200
300,K2K,K2K,CaO,2.84,3.5833,0.7433,43,1200
300,K2K,K2K,MgO,0,1.125,1.125,13.5,1200
300,K2K,K2K,S,3.42,3.175,-0.245,38.1,1200
300,K2K,K2K,B,0,0,0,0,1200
300,K2K,K2K,Co,0,0,0,0,1200
300,K2K,K2K,Cu,0,0,0,0,1200
300,K2K,K2K,Fe,0,0,0,0,1200
300,K2K,K2K,Mn,0,0,0,0,1200
300,K2K,K2K,Mo,0,0,0,0,1200
300,K2K,K2K,SiO2,1,3.9167,2.9167,47,1200
300,K2K,K2K,Zn,0,0,0,0,1200
300,K2K,K2K,Na,0.31,0,-0.31,0,1200
