dossier,archivo_balance,hoja,fila_excel,materia_prima,kg_ton,pct_100kg
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,7,UREA,543.5,54.35
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,8,FOSFATO DE AMONIO (MAP),152.5,15.25
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,9,SULFATO DE AMONIO (SAM),0.3,0.03
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,10,NITRATO DE POTASIO (KNO3),232.6,23.26
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,11,SULFATO MAGNESIO,40,4
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,12,ACIDO BORICO,1.2,0.12
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,13,SULFATO DE COBALTO,0.2,0.015
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,14,SULFATO DE COBRE,0.8,0.08
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,15,SULFATO DE HIERRO,2.5,0.25
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,16,SULFATO DE MANGANESO,1.7,0.17
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,17,MOLIBDATO DE SODIO,0.13,0.013
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,18,DIÓXIDO SILICIO,2.9,0.29
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,19,SULFATO DE ZINC,0.6,0.06
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-Balance Materia 1-CRECIMIENTO_v2.xlsx,1-CRECIMIENTO 30-10-10,21,E.D.T.A,21.07,2.112
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,7,UREA,543.5,54.35
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,8,FOSFATO DE AMONIO (MAP),152.5,15.25
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,9,SULFATO DE AMONIO (SAM),0.3,0.03
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,10,NITRATO DE POTASIO (KNO3),232.6,23.26
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,11,SULFATO MAGNESIO,40,4
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,12,ACIDO BORICO,1.2,0.12
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,13,SULFATO DE COBALTO,0.2,0.015
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,14,SULFATO DE COBRE,0.8,0.08
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,15,SULFATO DE HIERRO,2.5,0.25
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,16,SULFATO DE MANGANESO,1.7,0.17
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,17,MOLIBDATO DE SODIO,0.13,0.013
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,18,SULFATO DE ZINC,0.6,0.06
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,20,E.D.T.A,21.07,2.112
01_1-CRECIMIENTO,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/01_1-CRECIMIENTO/05_Balance_Masas/3.1-C_Balance Materia CRECIMIENTO_240608_v1.xlsx,1-CRECIMIENTO 30-10-10,21,DIÓXIDO SILICIO,2.9,0.29
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,7,UREA,239.1,23.91
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,8,FOSFATO DE AMONIO (MAP),491.8,49.18
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,9,SULFATO DE AMONIO (SAM),4.7,0.47
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,10,NITRATO DE POTASIO (KNO3),218.9,21.89
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,11,SULFATO MAGNESIO ANHIDRO,31.3,3.13
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,12,ACIDO BORICO,1.2,0.12
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,13,SULFATO DE COBALTO,0.1,0.01
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,14,SULFATO DE COBRE,1.2,0.12
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,15,SULFATO FERROSO,2.7,0.27
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,16,SULFATO DE MANGANESO,2.9,0.29
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,17,MOLIBDATO DE SODIO,0.13,0.013
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,19,SULFATO DE ZINC,0.6,0.06
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,21,E.D.T.A,2.3,0.227
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1-C_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,22,DIÓXIDO SILICIO,3.1,0.31
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,7,UREA,239.1,23.91
02_2-AVANCE,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/02_2-AVANCE/05_Balance_Masas/3.1_Balance MAsa 2-AVANCE_v2.xlsx,2-AVANCE 20-30-10,8,FOSFATO DE AMONIO (MAP),491.8,49.18
