RVF,Producto,Fecha_Vigencia,Clasificacion,Fuentes,Aditivos_Inertes,Limites_Microbiologicos,Composicion_Completa,Nitrógeno Total (N),Nitrógeno Amoniacal (N),Nitrógeno Nítrico (N),Nitrógeno Ureico (N),Nitrógeno Orgánico (N),Fósforo Total (P₂O₅),Fósforo Total (P₂O₅)*,Fósforo Asimilable (P₂O₅),Fósforo Soluble en Agua (P₂O₅),Fósforo de Lenta Asimilación (P₂O₅)***,Potasio Total (K₂O),Potasio Soluble en Agua (K₂O),Calcio Total (CaO),Calcio Total (CaO)*,Calcio Total (CaO)***,Calcio Soluble en Agua (CaO),Calcio Soluble en Agua (CaO)***,Calcio Soluble en HCl (CaO),Magnesio Total (MgO),Magnesio Total (MgO)*,Magnesio Soluble en Agua (MgO),Magnesio Soluble en Agua (MgO)*,Magnesio Soluble en HCl (MgO),Magnesio (MgO),Azufre Total (S),Azufre Soluble en Agua (S),Azufre (S),Boro Soluble en Agua (B),Boro (B),Cobalto Soluble en Agua (Co),Cobalto Soluble en Agua (Co)*,Cobre Total (Cu),Cobre Soluble en Agua (Cu),Cobre Soluble en Agua (Cu)*,Hierro Soluble en Agua (Fe),Hierro Soluble en Agua (Fe)*,Manganeso Soluble en Agua (Mn),Manganeso Soluble en Agua (Mn)*,Molibdeno Soluble en Agua (Mo),Zinc Soluble en Agua (Zn),Zinc Soluble en Agua (Zn)*,Zinc (Zn),Silicio Total (SiO₂),Silicio Total (SiO₂)*,Silicio Total (SiO₂)***,Sílice Total (SiO₂),Silicio Soluble en Agua (SiO₂),Silicio Soluble en Agua (SiO₂)***,Silicio,Sodio Total (Na),Sodio (Na),Carbono Orgánico Oxidable,Carbono Orgánico Oxidable Total,Relación Carbono Nitrógeno,Cenizas,Humedad,Humedad Máxima,pH en Solución al 10%,Conductividad Eléctrica (1:100),Conductividad Eléctrica (dS/m),Densidad,Densidad Aparente,Capacidad de Intercambio Catiónico,Capacidad de Retención de Humedad,Solubilidad,Solubilidad en agua a 20°C,Residuo Insoluble en ácido
2812,FOSFORITA NEIVA,3/OCT/1996,Acondicionador inorgánico — Granulado (aplicación al suelo),Mezcla física de roca fosfórica y silicato de magnesio (serpentina o antigorita),Vinaza,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Fósforo Total (P₂O₅)*: 22.00 %; Calcio Total (CaO): 42.00 %; Silicio Total (SiO₂): 16.00 %; Humedad Máxima: 5.00 %,,,,,,,22.00 %,,,,,,42.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00 %,,,,,,,,,,,,,,5.00 %,,,,,,,,,,
2949,CALFERZINC - P,10/MAR/1997,Fertilizante simple P — Granulado (aplicación al suelo),"Superfosfato triple, Sulfato de zinc monohidratado",Caolín,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Fósforo Asimilable (P₂O₅): 3.00 %; Azufre Total (S): 7.00 %; Zinc (Zn): 21.00 %,,,,,,,,3.00 %,,,,,,,,,,,,,,,,,7.00 %,,,,,,,,,,,,,,,,,21.00 %,,,,,,,,,,,,,,,,,,,,,,,,,
3537,CALFERQUIM 15-15-15,26/MAY/2000,Fertilizante compuesto mezclado NPK — Granulado (aplicación al suelo),"Urea, Fosfato diamónico, Cloruro de potasio, Carbonato de calcio, Silicato de magnesio (serpentina)",,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 15.00 %; Nitrógeno Amoniacal (N): 5.80 %; Nitrógeno Ureico (N): 9.20 %; Fósforo Asimilable (P₂O₅): 15.00 %; Potasio Soluble en Agua (K₂O): 15.00 %; Calcio Soluble en HCl (CaO): 7.00 %; Magnesio Soluble en HCl (MgO): 3.00 %; Silicio Total (SiO₂): 5.60 %; Humedad Máxima: 3.00 %,15.00 %,5.80 %,,9.20 %,,,,15.00 %,,,,15.00 %,,,,,,7.00 %,,,,,3.00 %,,,,,,,,,,,,,,,,,,,,5.60 %,,,,,,,,,,,,,,3.00 %,,,,,,,,,,
3601,CALFERQUIM SILIMAGRAN 30,16/AGO/2000,Acondicionador inorgánico — Granulado (aplicación al suelo),Mezcla física de roca fosfórica y silicato de magnesio (serpentina o antigorita),Vinaza,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Fósforo Total (P₂O₅)*: 5.00 %; Calcio Total (CaO): 6.00 %; Magnesio Soluble en HCl (MgO): 30.00 %; Sílice Total (SiO₂): 30.00 %; Humedad Máxima: 1.00 %,,,,,,,5.00 %,,,,,,6.00 %,,,,,,,,,,30.00 %,,,,,,,,,,,,,,,,,,,,,,,30.00 %,,,,,,,,,,,1.00 %,,,,,,,,,,
4415,AFOS - K (FOSFATO DIPOTASICO) 0-40-50,30/SEP/2002,Fertilizante compuesto complejo PK — Polvo soluble (aplicación al suelo mediante sistema de fertirriego),Fosfato dipotásico producto de la reacción química del ácido fosfórico y la potasa cáustica,,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Fósforo Soluble en Agua (P₂O₅): 40.00 %; Potasio Soluble en Agua (K₂O): 50.00 %; pH en Solución al 10%: 9.00; Solubilidad: 100.00 %; Humedad Máxima: 1.00 %,,,,,,,,,40.00 %,,,50.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 %,9.00,,,,,,,100.00 %,,
4533,CALFERQUIM 18-18-18,12/MAR/2003,Fertilizante compuesto mezclado NPK — Granulado (aplicación al suelo),"Urea granulada, Fosfato diamónico, Cloruro de potasio, Carbonato de calcio, Silicato de magnesio (serpentina)",,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 18.00 %; Nitrógeno Amoniacal (N): 6.20 %; Nitrógeno Ureico (N): 11.80 %; Fósforo Asimilable (P₂O₅): 18.00 %; Potasio Soluble en Agua (K₂O): 18.00 %; Calcio Soluble en HCl (CaO): 2.00 %; Magnesio Soluble en HCl (MgO): 1.20 %; Silicio Total (SiO₂): 1.60 %,18.00 %,6.20 %,,11.80 %,,,,18.00 %,,,,18.00 %,,,,,,2.00 %,,,,,1.20 %,,,,,,,,,,,,,,,,,,,,1.60 %,,,,,,,,,,,,,,,,,,,,,,,,
5060,CALFERQUIM 17-6-18-2(MgO),11/MAY/2005,Fertilizante compuesto mezclado NPK — Granulado (aplicación al suelo),"Urea, Fosfato diamónico, Cloruro de potasio, Sulfato de magnesio",Carbonato de calcio,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 17.00 %; Nitrógeno Amoniacal (N): 2.30 %; Nitrógeno Ureico (N): 14.70 %; Fósforo Asimilable (P₂O₅): 6.00 %; Potasio Soluble en Agua (K₂O): 18.00 %; Magnesio (MgO): 2.00 %,17.00 %,2.30 %,,14.70 %,,,,6.00 %,,,,18.00 %,,,,,,,,,,,,2.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5791,CALFERCOBRE,01/MAR/2007,Fertilizante inorgánico — Polvo (aplicación al suelo),Sulfato de cobre pentahidratado,,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Cobre Total (Cu): 25.00 %; Azufre Total (S): 12.00 %,,,,,,,,,,,,,,,,,,,,,,,,,12.00 %,,,,,,,25.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5867,CALFERMAGNESIO,28/JUN/2007,Fertilizante inorgánico — Polvo soluble (aplicación al suelo),Sulfato de magnesio heptahidratado,,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Magnesio (MgO): 16.00 %; Azufre (S): 12.50 %,,,,,,,,,,,,,,,,,,,,,,,,16.00 %,,,12.50 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5884,BIOPLANTAS,19/JUL/2007,Fertilizante orgánico — Polvo (aplicación al suelo),Compost de residuos de caña de azúcar,,Salmonella: Ausente en 25g de producto; Enterobacterias totales: < 10 UFC/g de producto; Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 1.00 %; Nitrógeno Orgánico (N): 1.00 %; Fósforo Total (P₂O₅): 1.00 %; Potasio Total (K₂O): 1.50 %; Carbono Orgánico Oxidable Total: 16.00 %; Relación Carbono Nitrógeno: 13.00; Cenizas: 13.00 %; Humedad: 30.00 %; pH en Solución al 10%: 8.50; Densidad: 0.39 g/cm³; Capacidad de Intercambio Catiónico: 36.46 meq/100 g; Capacidad de Retención de Humedad: 110.00 %; Conductividad Eléctrica (dS/m): 4.78 dS/m,1.00 %,,,,1.00 %,1.00 %,,,,,1.50 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00 %,13.00,13.00 %,30.00 %,,8.50,,4.78 dS/m,0.39 g/cm³,,36.46 meq/100 g,110.00 %,,,
