OP,COD_PROD,FECHA,ID_LOTE,NOMBRE,FORMULA,INICIO_PROD,FIN_PROD,TOTAL_PROD,1-COD,1-NOMBRE,1-CANTIDAD,1-TOTAL-MP,MP1-L1,MP1-L2,MP1-L3,MP1-L4,2-COD,2-NOMBRE,2-CANTIDAD,2-TOTAL-MP,MP2-L1,MP2-L2,MP2-L3,MP2-L4,3-COD,3-NOMBRE,3-CANTIDAD,3-TOTAL-MP,MP3-L1,MP3-L2,MP3-L3,MP3-L4,4-COD,4-NOMBRE,4-CANTIDAD,4-TOTAL-MP,MP4-L1,MP4-L2,MP4-L3,MP4-L4,5-COD,5-NOMBRE,5-CANTIDAD,5-TOTAL-MP,MP5-L1,MP5-L2,MP5-L3,MP5-L4,6-COD,6-NOMBRE,6-CANTIDAD,6-TOTAL-MP,MP6-L1,MP6-L2,MP6-L3,MP6-L4,7-COD,7-NOMBRE,7-CANTIDAD,7-TOTAL-MP,MP7-L1,MP7-L2,MP7-L3,MP7-L4,8-COD,8-NOMBRE,8-CANTIDAD,8-TOTAL-MP,MP8-L1,MP8-L2,MP8-L3,MP8-L4,9-COD,9-NOMBRE,9-CANTIDAD,9-TOTAL-MP,MP9-L1,MP9-L2,MP9-L3,MP9-L4,10-COD,10-NOMBRE,10-CANTIDAD,10-TOTAL-MP,MP10-L1,MP10-L2,MP10-L3,MP10-L4,11-COD,11-NOMBRE,11-CANTIDAD,11-TOTAL-MP,MP11-L1,MP11-L2,MP11-L3,MP11-L4,T_C,T_N,T_N-NH4,T_N-NO3,T_N-org,T_N-ur,T_P,T_K,T_CaO,T_MgO,T_S,T_B,T_Co,T_Cu,T_Fe,T_Mn,T_Mo,T_SiO2,T_Zn,T_Na,EVAL,LAB,CERT,LIB,DUMMY
1,141,02/01/2026,141-020126,,141-L07,,,,75,75-KIESERITA- 1-G,"0,05",,,,,,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,"0,75",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,05",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,15",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"26,1","3,05","10,75",0,0,0,0,0,0,2,0,0,141-020126,141-020126,141-020126,,
2,62,02/01/2026,62-020126,,62-L04,,,,75,75-KIESERITA- 1-G,"0,05",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,1",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,85",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"37,4","4,85",1,0,0,0,0,0,0,4,0,0,62-020126,62-020126,62-020126,,
3,452,02/01/2026,452-020126,,452-L0,,,,75,75-KIESERITA- 1-G,"0,05",,,,,,111,111-BENTONITA ROJA-FERTICAUCA 4-P,"0,6",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,35",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"15,4","1,85",1,0,0,0,0,0,0,"28,2",0,0,452-020126,452-020126,452-020126,,
4,679,03/01/2026,679-030126,,679-L03,,,,74,74-KIESERITA-MANUCHAR 1-P,"0,05",,,,,,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,"0,3",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,15",,,,,,111,111-BENTONITA ROJA-FERTICAUCA 4-P,"0,05",,,,,,290,290-ROCA FOSFORICA-26-PRACO 1-P,"0,45",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,"11,7",0,"27,45","1,3","4,9",0,0,0,0,0,0,"2,35",0,0,679-030126,679-030126,679-030126,,
5,65,05/01/2026,65-050126,,65-L05,,,,75,75-KIESERITA- 1-G,"0,1",,,,,,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,"0,15",,,,,,120,120-CAL DOLOMITA-BM 1-P,"0,1",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,25",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,4",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"18,3","18,3","3,95",0,0,0,0,0,0,16,0,0,65-050126,65-050126,65-050126,,
6,62,05/01/2026,62-050126,,62-L0,,,,75,75-KIESERITA- 1-G,"0,1",,,,,,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,"0,15",,,,,,120,120-CAL DOLOMITA-BM 1-P,"0,1",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,25",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,4",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"18,3","18,3","3,95",0,0,0,0,0,0,16,0,0,62-050126,62-050126,62-050126,,
7,62,06/01/2026,62-060126,,62-L04,,,,75,75-KIESERITA- 1-G,"0,05",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,1",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,85",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"37,4","4,85",1,0,0,0,0,0,0,4,0,0,62-060126,62-060126,62-060126,,
8,65,06/01/2026,65-060126,,65-L05,,,,75,75-KIESERITA- 1-G,"0,1",,,,,,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,"0,15",,,,,,120,120-CAL DOLOMITA-BM 1-P,"0,1",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,25",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,4",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"18,3","18,3","3,95",0,0,0,0,0,0,16,0,0,65-060126,65-060126,65-060126,,
9,141,07/01/2026,141-070126,,141-L07,,,,75,75-KIESERITA- 1-G,"0,05",,,,,,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,"0,75",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,05",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,15",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"26,1","3,05","10,75",0,0,0,0,0,0,2,0,0,141-070126,141-070126,141-070126,,
10,62,07/01/2026,62-070126,,62-L04,,,,75,75-KIESERITA- 1-G,"0,05",,,,,,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,"0,1",,,,,,105,105-CARBONATO CALCIO-JAMAROL 3-P,"0,85",,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,"37,4","4,85",1,0,0,0,0,0,0,4,0,0,62-070126,62-070126,62-070126,,
