REF_INSUMO;NOMBRE_INS
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0431;MFE 41.4-0-6
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0431;MFE 41.4-0-6
MP0009;SAM GRANULADO 
PT0150;CARBONITRO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0430;MFE 43.5-0- 0 - 2.4(S)
PT0443;BORO GRANULADO EN 
PT0431;MFE 41.4-0-6
PT0150;CARBONITRO 
MP0022;DAP GRANULADO 
PT0007;SILIMAGRAN EN  
PT0028;SULFATO DE ZINC AL 22% 
MP0033;KCL GRANULADO 
PT0034;FERTIMENORES  
PT0431;MFE 41.4-0-6
PT0150;CARBONITRO 
MP0009;SAM GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0034;FERTIMENORES  
PT0431;MFE 41.4-0-6
MP0009;SAM GRANULADO 
PT0150;CARBONITRO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0034;FERTIMENORES  
PT0431;MFE 41.4-0-6
MP0009;SAM GRANULADO 
PT0150;CARBONITRO 
PT0012;NUCLEO 4  
MP0030;AZUFRE MALLA 100 
MP0079;SILICATO DE MAGNESIO 
MP0005;SULFATO DE ZINC 35% 
MP0001;SULFATO DE CALCIO 
MP0080;ROCA FOSFORICA 26% 
MP0092;BENTONITA GRIS 
MP0024;CARBONATO DE CALCIO 
MP0025;CAOLIN GRIS 
MP0028;CAL DOLOMITA 
MP0049;BIOCANECON 
PT0095;CALFERZINC-P 
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0430;MFE 43.5-0- 0 - 2.4(S)
PT0065;K2K SN 
MP0009;SAM GRANULADO 
PT0150;CARBONITRO 
MP0029;BORO GRANULADO SN 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0430;MFE 43.5-0- 0 - 2.4(S)
MP0009;SAM GRANULADO 
PT0012;NUCLEO 4  
MP0029;BORO GRANULADO SN 
MP0033;KCL GRANULADO 
MP0009;SAM GRANULADO 
PT0012;NUCLEO 4  
PT0095;CALFERZINC-P 
PT0430;MFE 43.5-0- 0 - 2.4(S)
PT0150;CARBONITRO 
PT0012;NUCLEO 4  
PT0095;CALFERZINC-P 
MP0009;SAM GRANULADO 
MP0033;KCL GRANULADO 
MP0029;BORO GRANULADO SN 
PT0444;MFE 43.5-0- 0 - 2.4(S)+C
MP0033;KCL GRANULADO 
PT0431;MFE 41.4-0-6
MP0022;DAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
MP0002;UREA 
MP0016;MAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
MP0002;UREA 
MP0016;MAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0431;MFE 41.4-0-6
MP0022;DAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
MP0002;UREA 
MP0016;MAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0431;MFE 41.4-0-6
MP0022;DAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
MP0081;UREA PRILLED 
MP0016;MAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0431;MFE 41.4-0-6
MP0022;DAP GRANULADO 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0033;ZUELO-CA  
MP0002;UREA 
PT0430;MFE 43.5-0- 0 - 2.4(S)
MP0022;DAP GRANULADO 
PT0007;SILIMAGRAN EN  
PT0012;NUCLEO 4  
MP0022;DAP GRANULADO 
MP0033;KCL GRANULADO 
PT0007;SILIMAGRAN EN  
PT0031;RAIFOS 20  
PT0033;ZUELO-CA  
PT0430;MFE 43.5-0- 0 - 2.4(S)
PT0094;K2K 
PT0095;CALFERZINC-P 
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0431;MFE 41.4-0-6
PT0150;CARBONITRO 
MP0009;SAM GRANULADO 
PT0091;ZUELO-CA 
MP0029;BORO GRANULADO SN 
PT0012;NUCLEO 4  
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0430;MFE 43.5-0- 0 - 2.4(S)
MP0009;SAM GRANULADO 
MP0022;DAP GRANULADO 
PT0007;SILIMAGRAN EN  
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0033;ZUELO-CA  
PT0430;MFE 43.5-0- 0 - 2.4(S)
PT0036;MICRON C 
MP0009;SAM GRANULADO 
MP0022;DAP GRANULADO 
PT0007;SILIMAGRAN EN  
MP0022;DAP GRANULADO 
MP0033;KCL GRANULADO 
MP0009;SAM GRANULADO 
PT0031;RAIFOS 20  
PT0033;ZUELO-CA  
PT0430;MFE 43.5-0- 0 - 2.4(S)
PT0031;RAIFOS 20  
MP0002;UREA 
MP0009;SAM GRANULADO 
PT0150;CARBONITRO 
PT0091;ZUELO-CA 
MP0022;DAP GRANULADO 
MP0033;KCL GRANULADO 
PT0430;MFE 43.5-0- 0 - 2.4(S)
MP0009;SAM GRANULADO 
MP0022;DAP GRANULADO 
PT0007;SILIMAGRAN EN  
MP0033;KCL GRANULADO 
PT0031;RAIFOS 20  
PT0430;MFE 43.5-0- 0 - 2.4(S)
MP0022;DAP GRANULADO 
