COD;PRODUCTO;CLASE;TIPO;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na;COMP1;COMP2;COMP3;COMP4;COMP5;COMP6;COMP7;COMP8;COMP9;COMP10
132;ACIDO BORICO;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;AMINOACIDOS 43;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;AMINOACIDOS 80;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;AZUFRE M100;MP;P;;;;;;;;;;;51,00;;;;;;;;;;;;;;;;;;;
1204;BASE 1;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;BENTONITA CALCICA;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;BENTONITA GRIS;MP;P;;;;;;;;2,00;6,00;4,00;;;;;;;;57,00;;;;;;;;;;;;
111;BENTONITA ROJA;MP;P;;;;;;;;;;1,00;;;;;;;;47,00;;;;;;;;;;;;
198;BENTONITA SODICA;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;BIOCANE;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
463;CAL APAGADA;MP;P;;;;;;;;;55,00;;;;;;;;;;;;;;;;;;;;;
120;CAL DOLOMITA;MP;P;;;;;;;;;34,00;14,00;;;;;;;;;;;;;;;;;;;;
110;CAOLIN GRIS;MP;P;;;;;;;;;0,50;0,20;;;;;0,50;;;47,00;;;;;;;;;;;;
105;CARBONATO CALCIO;MP;P;;;;;;;;;40,00;;;;;;;;;;;;;;;;;;;;;
103;CITRATO ZINC;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;DAP TECNICO;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;EXTRACTO ALGAS;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437;FOSFORITA NEIVA;MP;P;;;;;;;22,00;;42,00;;;;;;;;;16,00;;;;;;;;;;;;
501;HIDROXIDO CALCIO;MP;P;;;;;;;;;55,00;;;;;;;;;;;;;;;;;;;;;
143;KCL STD;MP;P;;;;;;;;60,00;;;;;;;;;;;;;;;;;;;;;;
74;KIESERITA;MP;P;;;;;;;;;;25,00;20,00;;;;;;;;;;;;;;;;;;;
152;LEONARDITA;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;MAP STD;MP;P;;12,00;12,00;;;;52,00;;;;;;;;;;;;;;;;;;;;;;;
57;OXIDO MAGNESIO;MP;P;;;;;;;;;3,00;90,00;;;;;;;;5,00;;;;;;;;;;;;
448;PRODUCTO A;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;ROCA FOSFORICA;MP;P;;;;;;;31,00;;37,00;;;;;;;;;;;;;;;;;;;;;
832;ROCA FOSFORICA-24;MP;P;;;;;;;24,00;;;;;;;;;;;;;;;;;;;;;;;
290;ROCA FOSFORICA-26;MP;P;;;;;;;26,00;;36,00;;;;;;;;;;;;;;;;;;;;;
34;ROCA FOSFORICA-28;MP;P;;;;;;;28,00;;29,00;;;;;;;;;;;;;;;;;;;;;
681;ROCA FOSFORICA-30;MP;P;;;;;;;30,00;;;;;;;;;;;;;;;;;;;;;;;
40;SAM STD;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;SILICATO HIERRO;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;SILICATO MAGNESIO;MP;P;;;;;;;;;;33,86;;;;;;;;36,98;;;;;;;;;;;;
37;SILICATO SODIO;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;SULFATO CALCIO;MP;P;;;;;;;;;22,00;;13,00;;;;;;;;;;;;;;;;;;;
505;SULFATO CALCIO SUCROAL;MP;P;;;;;;;;;22,00;;13,00;;;;;;;;;;;;;;;;;;;
831;SULFATO COBRE;MP;P;;;;;;;;;;;12;;;25;;;;;;;;;;;;;;;;
30;SULFATO COBRE 22;MP;P;;;;;;;;;;;12;;;22,00;;;;;;;;;;;;;;;;
173;SULFATO COBRE 25;MP;P;;;;;;;;;;;12;;;25;;;;;;;;;;;;;;;;
23;SULFATO DE ZINC 35;MP;P;;;;;;;;;;;11,00;;;;;;;;35,00;;;;;;;;;;;
28;SULFATO HIERRO;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;SULFATO MANGANESO;MP;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;SULFATO ZINC 22 MP;MP;P;;;;;;;;;;;;;;;;;;;22,00;;;;;;;;;;;
227;SULFATO ZINC 32;MP;P;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;
23;SULFATO ZINC 35;MP;P;;;;;;;;;;;;;;;;;;;35,00;;;;;;;;;;;
323;SULFATO ZINC 38;MP;P;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;
16;ULEXITA;MP;P;;;;;;;;;13,00;;;14,00;;;;;;;;;;;;;;;;;;
