COD;PRODUCTO;CLASE;TIPO;Test;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
145;AZUFRE;MP;G;1;;;;;;;;;;;51;;;;;;;;;
97;DAP;MP;G;1;;18;18;;;;46;;;;;;;;;;;;;
144;KCL;MP;G;1;;;;;;;;60;;;;;;;;;;;;
75;KIESERITA;MP;G;1;;;;;;;;;;25;20;;;;;;;;;
72;MAP;MP;G;1;;11;11;;;;52;;;;;;;;;;;;;
32;SAM;MP;G;1;;21;21;;;;;;;;24;;;;;;;;;
167;SULFATO POTASIO;MP;G;1;;;;;;;;52;;;18;;;;;;;;;
12;UREA;MP;G;1;;46;;;;46;;;;;;;;;;;;;;
132;ACIDO BORICO;MP;P;1;;;;;;;;;;;;;;;;;;;;
361;AMINOACIDOS 43;MP;P;1;;;;;;;;;;;;;;;;;;;;
360;AMINOACIDOS 80;MP;P;1;;;;;;;;;;;;;;;;;;;;
130;AZUFRE M100;MP;P;1;;;;;;;;;;;51,00;;;;;;;;;
1204;BASE 1;MP;P;1;;;;;;;;;;;;;;;;;;;;
223;BENTONITA CALCICA;MP;P;1;;;;;;;;;;;;;;;;;;;;
370;BENTONITA GRIS;MP;P;1;;;;;;;;2,00;6,00;4,00;;;;;;;;57,00;;
111;BENTONITA ROJA;MP;P;1;;;;;;;;;;1,00;;;;;;;;47,00;;
198;BENTONITA SODICA;MP;P;1;;;;;;;;;;;;;;;;;;;;
204;BIOCANE;MP;P;1;;;;;;;;;;;;;;;;;;;;
463;CAL APAGADA;MP;P;1;;;;;;;;;55,00;;;;;;;;;;;
120;CAL DOLOMITA;MP;P;1;;;;;;;;;34,00;14,00;;;;;;;;;;
110;CAOLIN GRIS;MP;P;1;;;;;;;;;0,50;0,20;;;;;0,50;;;47,00;;
105;CARBONATO CALCIO;MP;P;1;;;;;;;;;40,00;;;;;;;;;;;
103;CITRATO ZINC;MP;P;1;;;;;;;;;;;;;;;;;;;;
226;DAP TECNICO;MP;P;1;;;;;;;;;;;;;;;;;;;;
359;EXTRACTO ALGAS;MP;P;1;;;;;;;;;;;;;;;;;;;;
437;FOSFORITA NEIVA;MP;P;1;;;;;;;22,00;;42,00;;;;;;;;;16,00;;
501;HIDROXIDO CALCIO;MP;P;1;;;;;;;;;55,00;;;;;;;;;;;
143;KCL STD;MP;P;1;;;;;;;;60,00;;;;;;;;;;;;
74;KIESERITA;MP;P;1;;;;;;;;;;25,00;20,00;;;;;;;;;
152;LEONARDITA;MP;P;1;;;;;;;;;;;;;;;;;;;;
193;MAP STD;MP;P;1;;12,00;12,00;;;;52,00;;;;;;;;;;;;;
57;OXIDO MAGNESIO;MP;P;1;;;;;;;;;3,00;90,00;;;;;;;;5,00;;
448;PRODUCTO A;MP;P;1;;;;;;;;;;;;;;;;;;;;
31;ROCA FOSFORICA;MP;P;1;;;;;;;31,00;;37,00;;;;;;;;;;;
832;ROCA FOSFORICA-24;MP;P;1;;;;;;;24,00;;;;;;;;;;;;;
290;ROCA FOSFORICA-26;MP;P;1;;;;;;;26,00;;36,00;;;;;;;;;;;
34;ROCA FOSFORICA-28;MP;P;1;;;;;;;28,00;;29,00;;;;;;;;;;;
681;ROCA FOSFORICA-30;MP;P;1;;;;;;;30,00;;;;;;;;;;;;;
40;SAM STD;MP;P;1;;;;;;;;;;;;;;;;;;;;
171;SILICATO HIERRO;MP;P;1;;;;;;;;;;;;;;;;;;;;
274;SILICATO MAGNESIO;MP;P;1;;;;;;;;;;33,86;;;;;;;;36,98;;
37;SILICATO SODIO;MP;P;1;;;;;;;;;;;;;;;;;;;;
5;SULFATO CALCIO;MP;P;1;;;;;;;;;22,00;;13,00;;;;;;;;;
505;SULFATO CALCIO SUCROAL;MP;P;1;;;;;;;;;22,00;;13,00;;;;;;;;;
831;SULFATO COBRE;MP;P;1;;;;;;;;;;;12;;;25;;;;;;
30;SULFATO COBRE 22;MP;P;1;;;;;;;;;;;12;;;22,00;;;;;;
173;SULFATO COBRE 25;MP;P;1;;;;;;;;;;;12;;;25;;;;;;
23;SULFATO DE ZINC 35;MP;P;1;;;;;;;;;;;11,00;;;;;;;;35,00;
28;SULFATO HIERRO;MP;P;1;;;;;;;;;;;;;;;;;;;;
425;SULFATO MANGANESO;MP;P;1;;;;;;;;;;;;;;;;;;;;
21;SULFATO ZINC 22 MP;MP;P;1;;;;;;;;;;;;;;;;;;;22,00;
227;SULFATO ZINC 32;MP;P;1;;;;;;;;;;;;;;;;;;;32;
23;SULFATO ZINC 35;MP;P;1;;;;;;;;;;;;;;;;;;;35,00;
323;SULFATO ZINC 38;MP;P;1;;;;;;;;;;;;;;;;;;;38;
16;ULEXITA;MP;P;1;;;;;;;;;13,00;;;14,00;;;;;;;;
123;BORO G;PT;G;1;;;;;;;;;;;;10;;;;;;;;
150;CALFERZINC P;PT;G;1;;;;;;;;3;;;7;;;;;;;;22;
663;FE FERTIMENORES;PT;G;1;;4;;;;;10;;13;7;7;1;0.5;;;;;;2.5;
141;FE SULFATO CALCIO P;PT;G;1;;;;;;;;;26.4;1.5;10.8;;;;;;;2.8;;
643;FE SULFATO ZINC 22;PT;G;1;;;;;;;;;;;;;;;;;;;22;
300;K2K;PT;G;1;5;;;;;;;28.76;2.84;;3.42;;;;;;;1;;0.31
154;MAGNE 3;PT;G;1;;;;;;;;3;4.5;27;5.5;;;;;;;13;;
411;MF 0-15-15+EM;PT;G;1;;0;;;;;15;15;;;;;;;;;;;;
137;MF 10-20-20;PT;G;1;;10;;;;;20;20;;;;;;;;;;;;
R;MF 10-24-4;PT;G;1;;10;;;;;24;4;;;;;;;;;;;;
86;MF 10-30-10;PT;G;1;;10;;;;;30;10;;;;;;;;;;;;
407;MF 10-10-20+EM;PT;G;1;;10;;;;;10;20;;;;;;;;;;;;
396;MF 10-15-20+EM;PT;G;1;;10;;;;;15;20;;;;;;;;;;;;
495;MF 10-15-29+EM;PT;G;1;;10;;;;;15;29;;;;;;;;;;;;
408;MF 10-20-20+EM;PT;G;1;;10;;;;;20;20;;;;;;;;;;;;
464;MF 10-20-28+EM;PT;G;1;;10;;;;;20;28;;;;;;;;;;;;
423;MF 10-20-30+EM;PT;G;1;;10;;;;;20;30;;;;;;;;;;;;
406;MF 10-24-4+EM;PT;G;1;;10;;;;;24;4;;;;;;;;;;;;
387;MF 10-28-6+EM;PT;G;1;;10;;;;;28;6;;;;;;;;;;;;
390;MF 10-6-4 + EM;PT;G;1;;10;;;;;6;4;;;;;;;;;;;;
670;MF 10-9-30;PT;G;1;;10;;;;;9;30;;;;;;;;;;;;
458;MF 10-9-30+EM;PT;G;1;;10;;;;;9;30;;;;;;;;;;;;
388;MF 11-5-27;PT;G;1;;11;;;;;5;27;;;;;;;;;;;;
543;MF 11-29-12+EM;PT;G;1;;11;;;;;29;12;;;;;;;;;;;;
268;MF 12-24-12;PT;G;1;;12;;;;;24;12;;;;;;;;;;;;
317;MF 12-24-12+EM;PT;G;1;;12;;;;;24;12;;;;;;;;;;;;
318;MF 12-7-12+EM;PT;G;1;;12;;;;;7;12;;;;;;;;;;;;
496;MF 12-30-10+EM;PT;G;1;;12;;;;;30;10;;;;;;;;;;;;
490;MF 13-26-10+ EM;PT;G;1;;13;;;;;26;10;;;;;;;;;;;;
419;MF 13-7-12+EM;PT;G;1;;13;;;;;7;12;;;;;;;;;;;;
381;MF 14-3-19-7Ca+EM;PT;G;1;;14;;;;;3;19;7;;;;;;;;;;;
433;MF 14-4-23+EM;PT;G;1;;14;;;;;4;23;;;;;;;;;;;;
516;MF 14-4-24+EM;PT;G;1;;14;;;;;4;24;;;;;;;;;;;;
85;MF 15-15-15;PT;G;1;;15;;;;;15;15;;;;;;;;;;;;
462;MF 15-4-23+EM;PT;G;1;;15;;;;;4;23;;;;;;;;;;;;
426;MF 15-6-8+EM;PT;G;1;;15;;;;;6;8;;;;;;;;;;;;
612;MF 16-26-12;PT;G;1;;16;;;;;23;12;;;;;;;;;;;;
517;MF 16-16-16+EM;PT;G;1;;16;;;;;16;16;;;;;;;;;;;;
441;MF 16-17-0-7Ca+EM;PT;G;1;;16;;;;;17;0;7;;;;;;;;;;;
405;MF 16-3-14+EM;PT;G;1;;16;;;;;3;14;;;;;;;;;;;;
R;MF 17-5-7;PT;G;1;;17;;;;;5;7;;;;;;;;;;;;
84;MF 17-6-18-2-1;PT;G;1;;17;;;;;6;18;2;1;;;;;;;;;;
402;MF 17-6-18-6+EM;PT;G;1;;17;;;;;6;18;6;;;;;;;;;;;
R;MF 17-7-2 / MAX UTEO;PT;G;1;;17;;;;;7;2;;;;;;;;;;;;
401;MF 17-8-11+EM+CO;PT;G;1;;17;;;;;8;11;;;;;;;;;;;;
478;MF 17-4-23+EM;PT;G;1;;17;;;;;4;23;;;;;;;;;;;;
477;MF 17-5-7+EM;PT;G;1;;17;;;;;5;7;;;;;;;;;;;;
83;MF 18-18-18;PT;G;1;;18;;;;;18;18;;;;;;;;;;;;
353;MF 18-8-5-4+EM;PT;G;1;;18;;;;;8;5;4;;;;;;;;;;;
301;MF 19-1-2-1+EM;PT;G;1;;19;;;;;1;2;1;;;;;;;;;;;
304;MF 19-5-9-5+EM;PT;G;1;;19;;;;;5;6;5;;;;;;;;;;;
384;MF 19-1-3 + MEORES;PT;G;1;;19;;;;;1;3;;;;;;;;;;;;
442;MF 19-3-18+EM;PT;G;1;;19;;;;;3;18;;;;;;;;;;;;
284;MF 20-17-18+TCM;PT;G;1;;20;;;;;17;18;;;;;;;;;;;;
529;MF 20-0-30-3S;PT;G;1;;20;;;;;0;30;;;3;;;;;;;;;
519;MF 20-3-15+EM;PT;G;1;;20;;;;;3;15;;;;;;;;;;;;
457;MF 20-6-0-5CA+EM;PT;G;1;;20;;;;;6;0;5;;;;;;;;;;;
631;MF 20-8-10+EM;PT;G;1;;20;;;;;8;10;;;;;;;;;;;;
172;MF 21-1-2+EM;PT;G;1;;21;;;;;1;2;;;;;;;;;;;;
357;MF 21-5-10-6S+EM;PT;G;1;;21;;;;;5;10;;;6;;;;;;;;;
415;MF 21-2-8+EM;PT;G;1;;21;;;;;2;8;;;;;;;;;;;;
316;MF 21-3-8-3Ca+MEORES;PT;G;1;;21;;;;;3;8;3;;;;;;;;;;;
307;MF 21-4-5-3Ca+MEORES;PT;G;1;;21;;;;;4;5;3;;;;;;;;;;;
