ID_PROD,COD,PRODUCTO,PROVEEDOR,Cprov,CLASE,TIPO,NOMBRE,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na,COMP1,COMP2,COMP3,COMP4,COMP5,COMP6,COMP7,COMP8,COMP9,COMP10
999-1-CRECIMIENTO-CALFERQUIM 1-,x1,1-CRECIMIENTO,CALFERQUIM,1,PT,,999-1-CRECIMIENTO-CALFERQUIM 1-,,"30,00","2,00","3,00",,"25,00","10,50","10,50",,"0,60","0,58","0,02","0,00","0,02","0,05","0,05","0,01",,"0,02",,,,,,,,,,,
999-2-AVANCE-CALFERQUIM 1-,x2,2-AVANCE,CALFERQUIM,1,PT,,999-2-AVANCE-CALFERQUIM 1-,,"19,50","6,00","3,00",,"10,50","31,00","10,50",,"1,00","1,05","0,02","0,00","0,03","0,08","0,09","0,01",,"0,02",,,,,,,,,,,
999-3-PRODUCTOR-CALFERQUIM 1-,x3,3-PRODUCTOR,CALFERQUIM,1,PT,,999-3-PRODUCTOR-CALFERQUIM 1-,,"7,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
379-AFOS-K-CALFERQUIM 1-P,379,AFOS-K,CALFERQUIM,1,PT,P,379-AFOS-K-CALFERQUIM 1-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-B-ZINC-CALFERQUIM 1-G,350,B-ZINC,CALFERQUIM,1,PT,G,350-B-ZINC-CALFERQUIM 1-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393-BIOPLANTAS-CALFERQUIM 1-P,393,BIOPLANTAS,CALFERQUIM,1,PT,P,393-BIOPLANTAS-CALFERQUIM 1-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999-BIORGANIK-CALFERQUIM 1-P,9999,BIORGANIK,CALFERQUIM,1,PT,P,9999-BIORGANIK-CALFERQUIM 1-P,"16,00","1,00",,,,,"1,00","2,00",,,,,,,,,,,,,,,,,,,,,,
123-BORO G-CALFERQUIM 1-G,123,BORO G,CALFERQUIM,1,PT,G,123-BORO G-CALFERQUIM 1-G,,,,,,,,,,,,"10,00",,,,,,,,,,,,,,,,,,
576-BZINC-15-CALFERQUIM 1-G,576,BZINC-15,CALFERQUIM,1,PT,G,576-BZINC-15-CALFERQUIM 1-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-CALFER LLENADO-CALFERQUIM 1-,x4,CALFER LLENADO,CALFERQUIM,1,PT,,999-CALFER LLENADO-CALFERQUIM 1-,,"5,00","0,26","4,74",,,"15,00","45,00",,"1,00","4,88","2,00","0,00","0,02","0,06","0,06","0,01",,"0,02",,,,,,,,,,,
