idInterno;codigoExterno;clase;grupo;producto;tiene_HS;score;motivo;archivo_HS
MP0001;145;MP;MP;AZUFRE;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD -  AZUFREA MALLA 100.docx
MP0002;97;MP;MP;DAP;SI;1.0;coincidencia exacta;16) HS DAP CIAMSA.pdf
MP0003;144;MP;MP;KCL;SI;1.0;coincidencia exacta;17) HS KCL CIAMSA.pdf
MP0004;75;MP;MP;KIESERITA;SI;1.0;coincidencia exacta;29. Ficha de datos de seguridad de Kieserita - Sulfato de magnesio monohidratado, kieserite.pdf
MP0005;72;MP;MP;MAP;SI;1.0;coincidencia exacta;18) HS MAP CIAMSA.pdf
MP0006;32;MP;MP;SAM;SI;1.0;coincidencia exacta;004 - FDS SAM (1).pdf
MP0007;167;MP;MP;SULFATO POTASIO;SI;0.5;keywords:1/2;HOJA DE SEGURIDAD SULFATO DE POTASIO.docx
MP0008;12;MP;MP;UREA;SI;1.0;coincidencia exacta;21) HS Urea CIAMSA.pdf
MP0010;361;MP;MP;AMINOACIDOS 43;NO;0.0;;
MP0011;360;MP;MP;AMINOACIDOS 80;NO;0.0;;
MP0012;130;MP;MP;AZUFRE M100;SI;1.0;keywords:2/2;HOJA DE SEGURIDAD -  AZUFREA MALLA 100.docx
MP0013;1204;MP;MP;BASE 1;NO;0.0;;
MP0014;223;MP;MP;BENTONITA CALCICA;NO;0.0;;
MP0015;370;MP;MP;BENTONITA GRIS;NO;0.0;;
MP0016;111;MP;MP;BENTONITA ROJA;NO;0.0;;
MP0017;198;MP;MP;BENTONITA SODICA;NO;0.0;;
MP0018;204;MP;MP;BIOCANE;NO;0.0;;
MP0019;463;MP;MP;CAL APAGADA;NO;0.0;;
MP0020;120;MP;MP;CAL DOLOMITA;NO;0.0;;
MP0021;110;MP;MP;CAOLIN GRIS;NO;0.0;;
MP0022;105;MP;MP;CARBONATO CALCIO;NO;0.0;;
MP0023;103;MP;MP;CITRATO ZINC;NO;0.0;;
MP0024;226;MP;MP;DAP TECNICO;SI;0.5;keywords:1/2;16) HS DAP CIAMSA.pdf
MP0025;359;MP;MP;EXTRACTO ALGAS;NO;0.0;;
MP0026;437;MP;MP;FOSFORITA NEIVA;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD - FOSFORITA NEIVA.docx
MP0027;501;MP;MP;HIDROXIDO CALCIO;NO;0.0;;
MP0028;143;MP;MP;KCL STD;SI;0.5;keywords:1/2;17) HS KCL CIAMSA.pdf
MP0029;74;MP;MP;KIESERITA;SI;1.0;coincidencia exacta;29. Ficha de datos de seguridad de Kieserita - Sulfato de magnesio monohidratado, kieserite.pdf
MP0030;152;MP;MP;LEONARDITA;NO;0.0;;
MP0031;193;MP;MP;MAP STD;SI;1.0;keywords:1/1;18) HS MAP CIAMSA.pdf
MP0032;57;MP;MP;OXIDO MAGNESIO;NO;0.0;;
MP0033;448;MP;MP;PRODUCTO A;NO;0.0;;
MP0034;31;MP;MP;ROCA FOSFORICA;NO;0.0;;
MP0035;832;MP;MP;ROCA FOSFORICA-24;NO;0.0;;
MP0036;290;MP;MP;ROCA FOSFORICA-26;NO;0.0;;
MP0037;34;MP;MP;ROCA FOSFORICA-28;NO;0.0;;
MP0038;681;MP;MP;ROCA FOSFORICA-30;NO;0.0;;
MP0039;40;MP;MP;SAM STD;SI;0.5;keywords:1/2;004 - FDS SAM (1).pdf
MP0040;171;MP;MP;SILICATO HIERRO;NO;0.0;;
MP0041;274;MP;MP;SILICATO MAGNESIO;SI;0.5;keywords:1/2;20) HS Silicato de Magnesio Pulverizar.pdf
MP0042;37;MP;MP;SILICATO SODIO;SI;0.5;keywords:1/2;19) HS Silicato de Sodio NP-41 JADESI SA.pdf
MP0043;5;MP;MP;SULFATO CALCIO;SI;1.0;keywords:1/1;HOJA DE SEGURIDAD - YESO EN POLVO.docx
MP0044;505;MP;MP;SULFATO CALCIO SUCROAL;SI;1.0;keywords:1/1;HOJA DE SEGURIDAD - YESO EN POLVO.docx
MP0045;831;MP;MP;SULFATO COBRE;SI;0.5;keywords:1/2;11) HS Sulfato de Cobre Pentahidratado 25_ CONAGRAN.pdf
MP0046;30;MP;MP;SULFATO COBRE 22;SI;0.5;keywords:1/2;11) HS Sulfato de Cobre Pentahidratado 25_ CONAGRAN.pdf
MP0047;173;MP;MP;SULFATO COBRE 25;NO;0.33;keywords:1/3;11) HS Sulfato de Cobre Pentahidratado 25_ CONAGRAN.pdf
MP0048;23;MP;MP;SULFATO DE ZINC 35;NO;0.0;;
MP0049;28;MP;MP;SULFATO HIERRO;NO;0.0;;
MP0050;425;MP;MP;SULFATO MANGANESO;SI;0.5;keywords:1/2;29. Ficha de datos de seguridad de Sulfato de Manganeso Monohidratado Fino - 17S+31Mn 20231025 22.pdf
MP0051;21;MP;MP;SULFATO ZINC 22 MP;NO;0.0;;
MP0052;227;MP;MP;SULFATO ZINC 32;NO;0.0;;
MP0053;23;MP;MP;SULFATO ZINC 35;NO;0.0;;
MP0054;323;MP;MP;SULFATO ZINC 38;NO;0.0;;
MP0055;16;MP;MP;ULEXITA;NO;0.0;;
