idInterno;codigoExterno;clase;grupo;producto;tiene_HS;score;motivo;archivo_HS
MP0010;361;MP;MP;AMINOACIDOS 43;NO;0.0;;
MP0011;360;MP;MP;AMINOACIDOS 80;NO;0.0;;
MP0013;1204;MP;MP;BASE 1;NO;0.0;;
MP0014;223;MP;MP;BENTONITA CALCICA;NO;0.0;;
MP0015;370;MP;MP;BENTONITA GRIS;NO;0.0;;
MP0016;111;MP;MP;BENTONITA ROJA;NO;0.0;;
MP0017;198;MP;MP;BENTONITA SODICA;NO;0.0;;
MP0018;204;MP;MP;BIOCANE;NO;0.0;;
MP0019;463;MP;MP;CAL APAGADA;NO;0.0;;
MP0020;120;MP;MP;CAL DOLOMITA;NO;0.0;;
MP0021;110;MP;MP;CAOLIN GRIS;NO;0.0;;
MP0022;105;MP;MP;CARBONATO CALCIO;NO;0.0;;
MP0023;103;MP;MP;CITRATO ZINC;NO;0.0;;
MP0025;359;MP;MP;EXTRACTO ALGAS;NO;0.0;;
MP0027;501;MP;MP;HIDROXIDO CALCIO;NO;0.0;;
MP0030;152;MP;MP;LEONARDITA;NO;0.0;;
MP0032;57;MP;MP;OXIDO MAGNESIO;NO;0.0;;
MP0033;448;MP;MP;PRODUCTO A;NO;0.0;;
MP0034;31;MP;MP;ROCA FOSFORICA;NO;0.0;;
MP0035;832;MP;MP;ROCA FOSFORICA-24;NO;0.0;;
MP0036;290;MP;MP;ROCA FOSFORICA-26;NO;0.0;;
MP0037;34;MP;MP;ROCA FOSFORICA-28;NO;0.0;;
MP0038;681;MP;MP;ROCA FOSFORICA-30;NO;0.0;;
MP0040;171;MP;MP;SILICATO HIERRO;NO;0.0;;
MP0047;173;MP;MP;SULFATO COBRE 25;NO;0.33;keywords:1/3;11) HS Sulfato de Cobre Pentahidratado 25_ CONAGRAN.pdf
MP0048;23;MP;MP;SULFATO DE ZINC 35;NO;0.0;;
MP0049;28;MP;MP;SULFATO HIERRO;NO;0.0;;
MP0051;21;MP;MP;SULFATO ZINC 22 MP;NO;0.0;;
MP0052;227;MP;MP;SULFATO ZINC 32;NO;0.0;;
MP0053;23;MP;MP;SULFATO ZINC 35;NO;0.0;;
MP0054;323;MP;MP;SULFATO ZINC 38;NO;0.0;;
MP0055;16;MP;MP;ULEXITA;NO;0.0;;
MZR0001;R;MZR;MF_MFE;MF 10-24-4;NO;0.0;;
MZR0002;R;MZR;MF_MFE;MF 17-5-7;NO;0.0;;
MZR0003;R;MZR;MF_MFE;MF 17-7-2 / MAX UTEO;NO;0.0;;
MZR0004;R;MZR;MF_MFE;MF 27-1-12;NO;0.0;;
MZR0005;R;MZR;MF_MFE;MFE 10-15-20;NO;0.0;;
MZR0006;R;MZR;MF_MFE;MFE 10-30-10;NO;0.0;;
MZR0007;R;MZR;MF_MFE;MFE 11-10-3;NO;0.0;;
MZR0008;R;MZR;MF_MFE;MFE 14-4-23;NO;0.0;;
MZR0009;R;MZR;MF_MFE;MFE 16-16-16;NO;0.0;;
MZR0010;R;MZR;MF_MFE;MFE 21-5-1;NO;0.0;;
MZR0011;R;MZR;MF_MFE;MFE 22-3-13;NO;0.0;;
MZR0012;R;MZR;MF_MFE;MFE 22-3-7;NO;0.0;;
MZR0013;R;MZR;MF_MFE;MFE 23-5-10;NO;0.0;;
MZR0014;R;MZR;MF_MFE;MFE 24-2-14;NO;0.0;;
MZR0015;R;MZR;MF_MFE;MFE 26-6-2 / SUPER PASTURA;NO;0.0;;
MZR0016;R;MZR;MF_MFE;MFE 28-0-6;NO;0.0;;
MZR0017;R;MZR;MF_MFE;MFE 28-1-12;NO;0.0;;
MZR0018;R;MZR;MF_MFE;MFE 31-0-20 TMC;NO;0.0;;
MZR0019;R1;MZR;MF_MFE;MFE 41.4-0-6;NO;0.0;;
MZR0020;R2;MZR;MF_MFE;MFE 43.5-0-0-2.4S;NO;0.0;;
PT0004;141;PT;PT_COMERCIAL;FE SULFATO CALCIO P;NO;0.33;keywords:1/3;HOJA DE SEGURIDAD - SUL-CALCIO.docx
PT0008;411;PT;MF_MFE;MF 0-15-15+EM;NO;0.0;;
PT0009;137;PT;MF_MFE;MF 10-20-20;NO;0.0;;
PT0010;86;PT;MF_MFE;MF 10-30-10;NO;0.0;;
PT0011;407;PT;MF_MFE;MF 10-10-20+EM;NO;0.0;;
PT0012;396;PT;MF_MFE;MF 10-15-20+EM;NO;0.0;;
PT0013;495;PT;MF_MFE;MF 10-15-29+EM;NO;0.0;;
PT0014;408;PT;MF_MFE;MF 10-20-20+EM;NO;0.0;;
PT0015;464;PT;MF_MFE;MF 10-20-28+EM;NO;0.0;;
PT0016;423;PT;MF_MFE;MF 10-20-30+EM;NO;0.0;;
PT0017;406;PT;MF_MFE;MF 10-24-4+EM;NO;0.0;;
PT0018;387;PT;MF_MFE;MF 10-28-6+EM;NO;0.0;;
PT0019;390;PT;MF_MFE;MF 10-6-4 + EM;NO;0.0;;
PT0020;670;PT;MF_MFE;MF 10-9-30;NO;0.0;;
PT0021;458;PT;MF_MFE;MF 10-9-30+EM;NO;0.0;;
PT0022;388;PT;MF_MFE;MF 11-5-27;NO;0.0;;
PT0023;543;PT;MF_MFE;MF 11-29-12+EM;NO;0.0;;
PT0024;268;PT;MF_MFE;MF 12-24-12;NO;0.0;;
PT0025;317;PT;MF_MFE;MF 12-24-12+EM;NO;0.0;;
PT0026;318;PT;MF_MFE;MF 12-7-12+EM;NO;0.0;;
PT0027;496;PT;MF_MFE;MF 12-30-10+EM;NO;0.0;;
PT0028;490;PT;MF_MFE;MF 13-26-10+ EM;NO;0.0;;
PT0029;419;PT;MF_MFE;MF 13-7-12+EM;NO;0.0;;
PT0030;381;PT;MF_MFE;MF 14-3-19-7Ca+EM;NO;0.0;;
PT0031;433;PT;MF_MFE;MF 14-4-23+EM;NO;0.0;;
PT0032;516;PT;MF_MFE;MF 14-4-24+EM;NO;0.0;;
PT0033;85;PT;MF_MFE;MF 15-15-15;NO;0.0;;
PT0034;462;PT;MF_MFE;MF 15-4-23+EM;NO;0.0;;
PT0035;426;PT;MF_MFE;MF 15-6-8+EM;NO;0.0;;
PT0036;612;PT;MF_MFE;MF 16-26-12;NO;0.0;;
PT0037;517;PT;MF_MFE;MF 16-16-16+EM;NO;0.0;;
PT0038;441;PT;MF_MFE;MF 16-17-0-7Ca+EM;NO;0.0;;
PT0039;405;PT;MF_MFE;MF 16-3-14+EM;NO;0.0;;
PT0040;84;PT;MF_MFE;MF 17-6-18-2-1;NO;0.0;;
PT0041;402;PT;MF_MFE;MF 17-6-18-6+EM;NO;0.0;;
PT0042;401;PT;MF_MFE;MF 17-8-11+EM+CO;NO;0.0;;
PT0043;478;PT;MF_MFE;MF 17-4-23+EM;NO;0.0;;
PT0044;477;PT;MF_MFE;MF 17-5-7+EM;NO;0.0;;
PT0045;83;PT;MF_MFE;MF 18-18-18;NO;0.0;;
PT0046;353;PT;MF_MFE;MF 18-8-5-4+EM;NO;0.0;;
PT0047;301;PT;MF_MFE;MF 19-1-2-1+EM;NO;0.0;;
PT0048;304;PT;MF_MFE;MF 19-5-9-5+EM;NO;0.0;;
PT0049;384;PT;MF_MFE;MF 19-1-3 + MEORES;NO;0.0;;
PT0050;442;PT;MF_MFE;MF 19-3-18+EM;NO;0.0;;
PT0051;284;PT;MF_MFE;MF 20-17-18+TCM;NO;0.0;;
PT0052;529;PT;MF_MFE;MF 20-0-30-3S;NO;0.0;;
PT0053;519;PT;MF_MFE;MF 20-3-15+EM;NO;0.0;;
PT0054;457;PT;MF_MFE;MF 20-6-0-5CA+EM;NO;0.0;;
PT0055;631;PT;MF_MFE;MF 20-8-10+EM;NO;0.0;;
PT0056;172;PT;MF_MFE;MF 21-1-2+EM;NO;0.0;;
PT0057;357;PT;MF_MFE;MF 21-5-10-6S+EM;NO;0.0;;
PT0058;415;PT;MF_MFE;MF 21-2-8+EM;NO;0.0;;
PT0059;316;PT;MF_MFE;MF 21-3-8-3Ca+MEORES;NO;0.0;;
PT0060;307;PT;MF_MFE;MF 21-4-5-3Ca+MEORES;NO;0.0;;
PT0061;497;PT;MF_MFE;MF 21-5-10+EM;NO;0.0;;
PT0062;471;PT;MF_MFE;MF 21-5-9+EM;NO;0.0;;
PT0063;632;PT;MF_MFE;MF 21-9-9+EM;NO;0.0;;
PT0064;315;PT;MF_MFE;MF 22 3 13 4S+MEORES;NO;0.0;;
PT0065;524;PT;MF_MFE;MF 22-0-25-3S;NO;0.0;;
PT0066;526;PT;MF_MFE;MF 22-0-3+EM;NO;0.0;;
PT0067;511;PT;MF_MFE;MF 22-4-8+EM;NO;0.0;;
PT0068;525;PT;MF_MFE;MF 22-5-13+EM;NO;0.0;;
PT0069;456;PT;MF_MFE;MF 22-6-3+EM;NO;0.0;;
PT0070;398;PT;MF_MFE;MF 22-6-7Ca+EM;NO;0.0;;
PT0071;633;PT;MF_MFE;MF 22-6-7+EM;NO;0.0;;
PT0072;634;PT;MF_MFE;MF 22-9-9+EM;NO;0.0;;
PT0073;20;PT;MF_MFE;MF 23-3-20;NO;0.0;;
PT0074;618;PT;MF_MFE;MF 23 6 8 + EM;NO;0.0;;
PT0075;394;PT;MF_MFE;MF 23-3-20+EM;NO;0.0;;
PT0076;506;PT;MF_MFE;MF 23-5-6+EM;NO;0.0;;
PT0077;508;PT;MF_MFE;MF 23-6-8+EM;NO;0.0;;
PT0078;308;PT;MF_MFE;MF 24-0-17+EM;NO;0.0;;
PT0079;174;PT;MF_MFE;MF 24-3-9-3+EM;NO;0.0;;
PT0080;348;PT;MF_MFE;MF 24-5-7-5S-3Ca+1CO;NO;0.0;;
PT0081;436;PT;MF_MFE;MF 24-0-2+EM;NO;0.0;;
PT0082;532;PT;MF_MFE;MF 24-3-12+EM;NO;0.0;;
PT0083;440;PT;MF_MFE;MF 24-4-11+EM;NO;0.0;;
PT0084;473;PT;MF_MFE;MF 24-5-6+EM;NO;0.0;;
PT0085;328;PT;MF_MFE;MF 25-0-15+EM;NO;0.0;;
PT0086;146;PT;MF_MFE;MF 25-0-17-4S+EM;NO;0.0;;
PT0087;148;PT;MF_MFE;MF 25-10-18+ MEORES;NO;0.0;;
PT0088;175;PT;MF_MFE;MF 25-10-18+EM;NO;0.0;;
PT0089;382;PT;MF_MFE;MF 25-15-2-3-2;NO;0.0;;
PT0090;82;PT;MF_MFE;MF 25-4-24;NO;0.0;;
PT0091;518;PT;MF_MFE;MF 25-17-1+EM;NO;0.0;;
PT0092;455;PT;MF_MFE;MF 25-1-13+EM;NO;0.0;;
PT0093;509;PT;MF_MFE;MF 25-4-11+EM;NO;0.0;;
PT0094;656;PT;MF_MFE;MF 25-4-17+EM;NO;0.0;;
PT0095;367;PT;MF_MFE;MF 25-5-0-8Ca+EM;NO;0.0;;
PT0096;533;PT;MF_MFE;MF 25-5-12+EM;NO;0.0;;
PT0097;492;PT;MF_MFE;MF 25-7K-2CA+EM;NO;0.0;;
PT0098;652;PT;MF_MFE;MF 25-7-7+EM;NO;0.0;;
PT0099;648;PT;MF_MFE;MF 25-8-14+EM;NO;0.0;;
PT0100;159;PT;MF_MFE;MF 26-0-17+EM;NO;0.0;;
PT0101;176;PT;MF_MFE;MF 26-1-12-+EM;NO;0.0;;
PT0102;619;PT;MF_MFE;MF 26 7 6 + EM;NO;0.0;;
PT0103;514;PT;MF_MFE;MF 26-1-11+EM;NO;0.0;;
PT0104;512;PT;MF_MFE;MF 26-5-11+EM;NO;0.0;;
PT0105;476;PT;MF_MFE;MF 26-9-9+EM;NO;0.0;;
PT0106;136;PT;MF_MFE;MF 27-17-0Ca;NO;0.0;;
PT0107;630;PT;MF_MFE;MF 27-0-14+EM;NO;0.0;;
PT0108;385;PT;MF_MFE;MF 27-15K-5S-2Si-0,80CO;NO;0.0;;
PT0109;445;PT;MF_MFE;MF 27-1-12-2Ca+EM;NO;0.0;;
PT0110;475;PT;MF_MFE;MF 27-1-7+EM;NO;0.0;;
PT0111;653;PT;MF_MFE;MF 27-1-8+EM;NO;0.0;;
PT0112;642;PT;MF_MFE;MF 27-3-12+EM;NO;0.0;;
PT0113;536;PT;MF_MFE;MF 27-3-3+EM;NO;0.0;;
PT0114;438;PT;MF_MFE;MF 27-4-3+EM;NO;0.0;;
PT0115;606;PT;MF_MFE;MF 27-6-13+EM;NO;0.0;;
PT0116;480;PT;MF_MFE;MF 27-9K-10S+EM;NO;0.0;;
PT0117;299;PT;MF_MFE;MF 28-0-6-2Ca+EM;NO;0.0;;
PT0118;312;PT;MF_MFE;MF 28-0-9-2Ca+EM;NO;0.0;;
PT0119;165;PT;MF_MFE;MF 28-1-12+EM;NO;0.0;;
PT0120;303;PT;MF_MFE;MF 28-1-6-2Ca+EM;NO;0.0;;
