idInterno;codigoExterno;codigoOriginal;producto;clase;tipo;origen;archivado;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
MP0001;145;145;AZUFRE;MP;G;csv;;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0
MP0002;97;97;DAP;MP;G;csv;;0;18;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0003;144;144;KCL;MP;G;csv;;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0
MP0004;75;75;KIESERITA;MP;G;csv;;0;0;0;0;0;0;0;0;0;25;20;0;0;0;0;0;0;0;0;0
MP0005;72;72;MAP;MP;G;csv;;0;11;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0006;32;32;SAM;MP;G;csv;;0;21;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0
MP0007;167;167;SULFATO POTASIO;MP;G;csv;;0;0;0;0;0;0;0;52;0;0;18;0;0;0;0;0;0;0;0;0
MP0008;12;12;UREA;MP;G;csv;;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0010;361;361;AMINOACIDOS 43;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0011;360;360;AMINOACIDOS 80;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0012;130;130;AZUFRE M100;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0
MP0013;1204;1204;BASE 1;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0014;223;223;BENTONITA CALCICA;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0015;370;370;BENTONITA GRIS;MP;P;csv;;0;0;0;0;0;0;0;2;6;4;0;0;0;0;0;0;0;57;0;0
MP0016;111;111;BENTONITA ROJA;MP;P;csv;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;47;0;0
MP0017;198;198;BENTONITA SODICA;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0018;204;204;BIOCANE;MP;P;csv;;13;1;0;0;0;0;2.12;3;3.62;1.21;1.31;0;0;0;18;0;0;23.1;0;0
MP0019;463;463;CAL APAGADA;MP;P;csv;;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0
MP0020;120;120;CAL DOLOMITA;MP;P;csv;;0;0;0;0;0;0;0;0;34;14;0;0;0;0;0;0;0;0;0;0
MP0021;110;110;CAOLIN GRIS;MP;P;csv;;0;0;0;0;0;0;0;0;0.5;0.2;0;0;0;0;0.5;0;0;47;0;0
MP0022;105;105;CARBONATO CALCIO;MP;P;csv;;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
MP0023;103;103;CITRATO ZINC;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0024;226;226;DAP TECNICO;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0025;359;359;EXTRACTO ALGAS;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0026;437;437;FOSFORITA NEIVA;MP;P;csv;;0;0;0;0;0;0;22;0;42;0;0;0;0;0;0;0;0;16;0;0
MP0027;501;501;HIDROXIDO CALCIO;MP;P;csv;;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0
MP0028;143;143;KCL STD;MP;P;csv;;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0
MP0029;74;74;KIESERITA;MP;P;csv;;0;0;0;0;0;0;0;0;0;25;20;0;0;0;0;0;0;0;0;0
MP0030;152;152;LEONARDITA;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0031;193;193;MAP STD;MP;P;csv;;0;12;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0032;57;57;OXIDO MAGNESIO;MP;P;csv;;0;0;0;0;0;0;0;0;3;90;0;0;0;0;0;0;0;5;0;0
MP0033;448;448;PRODUCTO A;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0034;31;31;ROCA FOSFORICA;MP;P;csv;;0;0;0;0;0;0;31;0;37;0;0;0;0;0;0;0;0;0;0;0
MP0035;832;832;ROCA FOSFORICA-24;MP;P;csv;;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0036;290;290;ROCA FOSFORICA-26;MP;P;csv;;0;0;0;0;0;0;26;0;36;0;0;0;0;0;0;0;0;0;0;0
MP0037;34;34;ROCA FOSFORICA-28;MP;P;csv;;0;0;0;0;0;0;28;0;29;0;0;0;0;0;0;0;0;0;0;0
MP0038;681;681;ROCA FOSFORICA-30;MP;P;csv;;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0039;40;40;SAM STD;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0040;171;171;SILICATO HIERRO;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0041;274;274;SILICATO MAGNESIO;MP;P;csv;;0;0;0;0;0;0;0;0;0;33.86;0;0;0;0;0;0;0;36.98;0;0
MP0042;37;37;SILICATO SODIO;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0043;5;5;SULFATO CALCIO;MP;P;csv;;0;0;0;0;0;0;0;0;22;0;13;0;0;0;0;0;0;0;0;0
MP0044;505;505;SULFATO CALCIO SUCROAL;MP;P;csv;;0;0;0;0;0;0;0;0;22;0;13;0;0;0;0;0;0;0;0;0
MP0045;831;831;SULFATO COBRE;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;12;0;0;25;0;0;0;0;0;0
MP0046;30;30;SULFATO COBRE 22;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;12;0;0;22;0;0;0;0;0;0
MP0047;173;173;SULFATO COBRE 25;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;12;0;0;25;0;0;0;0;0;0
MP0048;23;23;SULFATO DE ZINC 35;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;35;0
MP0049;28;28;SULFATO HIERRO;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0050;425;425;SULFATO MANGANESO;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MP0051;21;21;SULFATO ZINC 22 MP;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0
