idInterno;codigoExterno;producto;tipo;origen;estado;archivo_ficha;score;razon
PT0001;123;BORO G;G;csv;FUERTE;250809_FT BORO GRANULADO.docx;0.95;sinonimo: BORO GRANULADO
PT0002;150;CALFERZINC P;G;csv;OK;250718_FT CALFERZINC-P.docx;1.00;exacto nombre
PT0003;663;FE FERTIMENORES;G;csv;FUERTE;250718_FT FERTIMENORES NP.pdf;0.95;sinonimo: FERTIMENORES NP
PT0004;141;FE SULFATO CALCIO P;G;csv;FUERTE;FT FE SULFATO DE CALCIO .docx;0.91;coincidencia fuerte
PT0005;643;FE SULFATO ZINC 22;G;csv;FUERTE;250718_FT SULFATO ZINC 22.pdf;0.93;coincidencia fuerte
PT0006;300;K2K;G;csv;OK;250718_FT K2K.pdf;1.00;exacto nombre
PT0007;154;MAGNE 3;G;csv;FUERTE;250718_FT NUCLEO MAGNE3.docx;0.95;sinonimo: NUCLEO MAGNE3
PT0008;411;MF 0-15-15+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0009;137;MF 10-20-20;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0010;86;MF 10-30-10;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0011;407;MF 10-10-20+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0012;396;MF 10-15-20+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0013;495;MF 10-15-29+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0014;408;MF 10-20-20+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0015;464;MF 10-20-28+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0016;423;MF 10-20-30+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0017;406;MF 10-24-4+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0018;387;MF 10-28-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0019;390;MF 10-6-4 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0020;670;MF 10-9-30;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0021;458;MF 10-9-30+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0022;388;MF 11-5-27;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0023;543;MF 11-29-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0024;268;MF 12-24-12;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0025;317;MF 12-24-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0026;318;MF 12-7-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0027;496;MF 12-30-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0028;490;MF 13-26-10+ EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0029;419;MF 13-7-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0030;381;MF 14-3-19-7Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0031;433;MF 14-4-23+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0032;516;MF 14-4-24+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0033;85;MF 15-15-15;G;csv;OK;250718_FT 15-15-15.docx;1.00;exacto formula NPK
PT0034;462;MF 15-4-23+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0035;426;MF 15-6-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0036;612;MF 16-26-12;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0037;517;MF 16-16-16+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0038;441;MF 16-17-0-7Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0039;405;MF 16-3-14+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0040;84;MF 17-6-18-2-1;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0041;402;MF 17-6-18-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0042;401;MF 17-8-11+EM+CO;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0043;478;MF 17-4-23+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0044;477;MF 17-5-7+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0045;83;MF 18-18-18;G;csv;OK;250718_FT 18-18-18 - copia.docx;1.00;exacto formula NPK
PT0046;353;MF 18-8-5-4+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0047;301;MF 19-1-2-1+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0048;304;MF 19-5-9-5+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0049;384;MF 19-1-3 + MEORES;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0050;442;MF 19-3-18+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0051;284;MF 20-17-18+TCM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0052;529;MF 20-0-30-3S;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0053;519;MF 20-3-15+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0054;457;MF 20-6-0-5CA+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0055;631;MF 20-8-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0056;172;MF 21-1-2+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0057;357;MF 21-5-10-6S+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0058;415;MF 21-2-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0059;316;MF 21-3-8-3Ca+MEORES;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0060;307;MF 21-4-5-3Ca+MEORES;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0061;497;MF 21-5-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0062;471;MF 21-5-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0063;632;MF 21-9-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0064;315;MF 22 3 13 4S+MEORES;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0065;524;MF 22-0-25-3S;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0066;526;MF 22-0-3+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0067;511;MF 22-4-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0068;525;MF 22-5-13+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0069;456;MF 22-6-3+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0070;398;MF 22-6-7Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0071;633;MF 22-6-7+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0072;634;MF 22-9-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0073;20;MF 23-3-20;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0074;618;MF 23 6 8 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0075;394;MF 23-3-20+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0076;506;MF 23-5-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0077;508;MF 23-6-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0078;308;MF 24-0-17+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0079;174;MF 24-3-9-3+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0080;348;MF 24-5-7-5S-3Ca+1CO;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0081;436;MF 24-0-2+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0082;532;MF 24-3-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0083;440;MF 24-4-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0084;473;MF 24-5-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0085;328;MF 25-0-15+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0086;146;MF 25-0-17-4S+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
