DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,UREA,543.4999999999999,0,25.001,0,0,0,25.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,FOSFATO DE AMONIO (MAP),152.49999999999997,0,1.6775,1.6775,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE AMONIO (SAM),0.29999999999999993,0,0.0063,0.0063,0,0,0,0,0,0,0,0.0072,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,NITRATO DE POTASIO (KNO3),232.59999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO MAGNESIO,39.99999999999999,0,0,0,0,0,0,0,0,0,1.0,0.8,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,ACIDO BORICO,1.1999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE COBALTO,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE COBRE,0.7999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE HIERRO,2.4999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE MANGANESO,1.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,MOLIBDATO DE SODIO,0.12999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE ZINC,0.5999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,E.D.T.A,21.069999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,DIÓXIDO SILICIO,2.8999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,TOTAL,,0.0,26.6848,1.6838,0.0,0.0,25.001,7.93,0.0,0.0,1.0,0.8072,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.021,0.0
02_2-AVANCE,2-AVANCE 20-30-10,UREA,239.09282721518352,0,10.9983,0,0,0,10.9983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,FOSFATO DE AMONIO (MAP),491.7852464426067,0,5.4096,5.4096,0,0,0,25.5728,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO DE AMONIO (SAM),4.6998590042298725,0,0.0987,0.0987,0,0,0,0,0,0,0,0.1128,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,NITRATO DE POTASIO (KNO3),218.89343319700407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO MAGNESIO ANHIDRO,31.299061028169152,0,0,0,0,0,0,0,0,0,0.7825,0.626,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,ACIDO BORICO,1.1999640010799675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
