Fecha Produccion,SEMANA,DIA,Item,Referencia,Turno,Planta,Nombre,Grupo,# Trabajadores,Hora de inicio,Hora de finalizacion,Cantidad produccion,Materias primas consumo,Polvillo vaciado,Polvillo qqdo,V. banda alimentadora,Inclinacion olla,V. olla granuladora,V. tubo secador,V. tubo enfriador,Granulador,Horas trabajadas,Minutos trabajados,Prueba laboratorio # 1,Prueba laboratorio #2,Prueba laboratorio #3,Notas,Novedad,Tiempo promedio de producción
1/07/2025,SEMANA 1,MARTES,62,NUCLEO CAMASI GRIS,TURNO 1,PLANTA 1,,NA,5,6:00:00,14:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,,,,,No se trabajo por problemas con el cañon,SI,
1/07/2025,SEMANA 1,MARTES,62,NUCLEO CAMASI GRIS,TURNO 2,PLANTA 1,,NA,5,17:30:00,22:05:00,10517,11000,1560,1925,20,,21,35,40,Pedro,4,40,CUMPLE,CUMPLE,CUMPLE,Se inició alas 5.29 PM por problemas con el cañon,SI,"26,60"
1/07/2025,SEMANA 1,MARTES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 2,PLANTA 2,,NA,6,14:00:00,21:55:00,13000,12000,,,20,,18,30,40,Maracas,7,55,CUMPLE,CUMPLE,CUMPLE,,,"36,50"
1/07/2025,SEMANA 1,MARTES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 1,PLANTA 2,,NA,6,6:00:00,13:43:00,11000,14000,,,20,,18,30,40,,7,43,CUMPLE,CUMPLE,CUMPLE,,,"42,1"
2/07/2025,SEMANA 1,MIERCOLES,563,NUCLEO CAMASI YARA,TURNO 1,PLANTA 1,,NA,5,6:15:00,13:58:00,26000,29000,780,,25,,23,35,40,Jhon estiven,1,43,CUMPLE,CUMPLE,CUMPLE,,,"4,00"
2/07/2025,SEMANA 1,MIERCOLES,563,NUCLEO CAMASI YARA,TURNO 2,PLANTA 1,,NA,5,14:00:00,22:10:00,25890,26000,,1245,22,,22,36,40,Pablo,7,30,CUMPLE,CUMPLE,CUMPLE,La cadena de la banda alimentadora del Tubo secador se reventó alas 6.24 hasta 6.54 pm,SI,"17,40"
2/07/2025,SEMANA 1,MIERCOLES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 1,PLANTA 2,,NA,5,6:00:00,13:50:00,10000,11000,,,8,,18,30,40,Juan gabriel,7,40,CUMPLE,CUMPLE,CUMPLE,Se paró alas 12.25 hasta las 12.45 por daño en la banda 4,SI,"46,00"
2/07/2025,SEMANA 1,MIERCOLES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 2,PLANTA 2,,NA,6,14:00:00,21:48:00,10000,11000,,6000,8,,19,30,40,Jhon,7,48,CUMPLE,CUMPLE,CUMPLE,Solo habíamos en planta 3 personas,SI,"46,80"
3/07/2025,SEMANA 1,JUEVES,62,NUCLEO CAMASI GRIS,TURNO 2,PLANTA 2,,NA,6,14:00:00,21:45:00,17000,17000,,1000,26,,19,34,40,Víctor,6,50,CUMPLE,CUMPLE,CUMPLE,Paramos 15 minutos por falla en el cañon se paró alas 5.40 por daño en banda 4 asta las 6.50,SI,"24,10"
3/07/2025,SEMANA 1,JUEVES,62,NUCLEO CAMASI GRIS,TURNO 1,PLANTA 2,,NA,4,8:00:00,13:35:00,15000,17000,1950,,37,,24,56,40,James,5,35,CUMPLE,CUMPLE,CUMPLE,Se inició alas 7.30 por limpieza de aria de trabajo,SI,"22,30"
3/07/2025,SEMANA 1,JUEVES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 1,PLANTA 1,,NA,5,7:25:00,13:38:00,13000,16000,3000,,5,,30,22,30,Stiven,6,13,CUMPLE,CUMPLE,CUMPLE,Se inició a laborar alas 7 .25 por problemas con tubo secador,SI,"28,70"
3/07/2025,SEMANA 1,JUEVES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 2,PLANTA 1,,NA,5,14:00:00,22:00:00,9000,8000,,,7,,33,25,31,Wilmar y aider,7,,CUMPLE,CUMPLE,CUMPLE,El tubo secador se frenó alas 8.32 asta las 9.31,SI,"46,70"
4/07/2025,SEMANA 1,VIERNES,62,NUCLEO CAMASI GRIS,TURNO 2,PLANTA 2,,NA,6,6:00:00,13:50:00,11000,13000,,,20,,21,35,40,Juan gabriel,7,48,NO CUMPLE,CUMPLE,CUMPLE,Todo el turno se trabajo sin molino,SI,"42,50"
4/07/2025,SEMANA 1,VIERNES,62,NUCLEO CAMASI GRIS,TURNO 1,PLANTA 2,,NA,6,14:00:00,22:00:00,20000,20000,,3650,20,,21,35,40,Juan jose,8,,CUMPLE,CUMPLE,CUMPLE,,,"24,00"
4/07/2025,SEMANA 1,VIERNES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 1,PLANTA 1,,NA,5,6:00:00,13:50:00,18000,17000,,,7,,33,25,31,Pedro y brayan,7,55,CUMPLE,CUMPLE,CUMPLE,,,"26,40"
4/07/2025,SEMANA 1,VIERNES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 2,PLANTA 1,,NA,4,14:00:00,21:58:00,16000,16000,,,8,,33,25,31,Pablo y Juan david,7,58,CUMPLE,CUMPLE,CUMPLE,,,"29,90"
5/07/2025,SEMANA 1,SABADO,65,NUCLEO 4,TURNO 1,PLANTA 2,,NA,5,6:10:00,13:51:00,23000,25000,1750,,"14,7",,21,45,40,Jose ducney,7,50,CUMPLE,CUMPLE,CUMPLE,,,"20,40"
5/07/2025,SEMANA 1,SABADO,65,NUCLEO 4,TURNO 2,PLANTA 2,,NA,5,14:00:00,21:55:00,17610,17000,1000,1000,20,,23,30,40,Maracas,5,6,CUMPLE,CUMPLE,CUMPLE,Se paró alas  4.35 asta las 6.29 PM por cadena de olla y variador  y se perdieron 15 minutos más por motobomba,SI,"17,40"
5/07/2025,SEMANA 1,SABADO,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 1,PLANTA 1,,NA,5,6:00:00,14:00:00,18000,18000,,,"6,6",,32,30,34,Jhon y don walter,8,,CUMPLE,CUMPLE,CUMPLE,,,"26,70"
5/07/2025,SEMANA 1,SABADO,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 2,PLANTA 1,,NA,4,14:00:00,22:00:00,10000,9000,,4473,3,,24,30,34,Wilmar,8,,CUMPLE,CUMPLE,CUMPLE,Solo se trabajo con 4 personas más 1 de alistamiento,SI,"48,00"
7/07/2025,SEMANA 2,LUNES,563,NUCLEO CAMASI YARA,TURNO 1,PLANTA 2,,NA,5,6:00:00,13:42:00,22000,23000,1000,473,22,,23,30,40,Víctor,7,40,CUMPLE,CUMPLE,CUMPLE,Se paró alas 9.29 asta las 9.40 por problemas en banda alimentadora de olla,SI,"20,90"
7/07/2025,SEMANA 2,LUNES,679,NUCLEO FOSFORO 10,TURNO 2,PLANTA 1,,NA,5,14:00:00,22:05:00,22287,17000,6184,1711,13,,30,35,35,Wilmar,8,,CUMPLE,CUMPLE,CUMPLE,,,"21,50"
7/07/2025,SEMANA 2,LUNES,558,NUCLEO MAGNESIO-SILICIO EM,TURNO 2,PLANTA 2,,NA,6,14:20:00,21:40:00,15000,17000,,1000,8,,19,30,40,James y nelson,6,54,CUMPLE,CUMPLE,CUMPLE,Iniciamos alas 2.30 por cambio de producto se paró alas 2.45  asta las 2.52 por problemas en banda  1 se paró nuevamente alas 3.06 asta las 3.20 por banda 1 se paró nuevamente alas 5.53 asta las 6.08 por banda 1,SI,"27,60"
7/07/2025,SEMANA 2,LUNES,679,NUCLEO FOSFORO 10,TURNO 1,PLANTA 1,,NA,5,6:00:00,14:00:00,1000,3000,1000,,10,,30,35,35,Stiven,0,50,CUMPLE,CUMPLE,CUMPLE,Se limpio el tubo secador se terminó de limpiar alas 11.30 se inició labores en planta alas 1.10 PM por problemas con el cañon y tablero de control,SI,"50,00"
8/07/2025,SEMANA 2,MARTES,803,NUCLEO MAGNESIO-S,TURNO 2,PLANTA 1,,NA,5,14:00:00,21:55:00,24363,23000,,2340,14,,30,28,35,Steven,7,55,CUMPLE,CUMPLE,CUMPLE,,,"19,50"
8/07/2025,SEMANA 2,MARTES,65,NUCLEO 4,TURNO 1,PLANTA 2,,NA,5,6:00:00,13:50:00,24000,25000,2000,,23,,22,30,40,Andres,7,50,CUMPLE,CUMPLE,CUMPLE,,,"19,60"
8/07/2025,SEMANA 2,MARTES,208,NUCLEO MAGNESIO,TURNO 1,PLANTA 1,,NA,5,6:15:00,14:00:00,20000,27000,,,13,,27,26,34,Wilmar,7,15,CUMPLE,CUMPLE,CUMPLE,De 6.45 a 7.03  y de 7.20 a 7.47  sin mezcla,SI,"21,80"
8/07/2025,SEMANA 2,MARTES,65,NUCLEO 4,TURNO 2,PLANTA 2,,NA,5,14:15:00,21:40:00,22000,23000,,,20,,23,30,40,Nelson,6,50,CUMPLE,CUMPLE,CUMPLE,Alas 2.15 PM tubo fallas el canon asta las 3.13pm,SI,"18,60"
9/07/2025,SEMANA 2,MIERCOLES,65,NUCLEO 4,TURNO 2,PLANTA 2,,NA,4,14:00:00,21:50:00,22800,22000,,1730,25,,20,28,40,Nelson,7,50,CUMPLE,CUMPLE,CUMPLE,,,"20,60"
9/07/2025,SEMANA 2,MIERCOLES,62,NUCLEO CAMASI GRIS,TURNO 1,PLANTA 1,,NA,6,7:00:00,14:00:00,23000,27000,,,10,,30,25,35,Pablo,7,,CUMPLE,CUMPLE,CUMPLE,Se inició alas 7 am,SI,"18,30"
9/07/2025,SEMANA 2,MIERCOLES,65,NUCLEO 4,TURNO 1,PLANTA 2,,NA,5,8:10:00,13:50:00,21000,22000,1000,,"14,5",,20,35,40,Maracas,5,40,CUMPLE,CUMPLE,CUMPLE,Se inició alas 8.10 por problemas con el cañon,SI,"16,20"
9/07/2025,SEMANA 2,MIERCOLES,62,NUCLEO CAMASI GRIS,TURNO 2,PLANTA 1,,NA,5,14:00:00,22:00:00,31847,29000,1250,,20,,30,35,35,Pedro,8,,CUMPLE,CUMPLE,CUMPLE,,,"15,10"
10/07/2025,SEMANA 2,JUEVES,563,NUCLEO CAMASI YARA,TURNO 1,PLANTA 2,,NA,5,18:00:00,13:45:00,23000,25000,1370,450,24,,20,38,40,Victor,7,35,CUMPLE,CUMPLE,CUMPLE,Se realizó 20 TM con 700 kilos de y se ISO 2 TM de núcleo 4,SI,"19,80"
10/07/2025,SEMANA 2,JUEVES,NA,NA,TURNO 1,PLANTA 1,,NA,6,6:00:00,13:44:00,,,,,18,,30,35,35,Wilmar,7,45,CUMPLE,CUMPLE,CUMPLE,Se hizo dos referencias camasi gris y núcleo 4,SI,
10/07/2025,SEMANA 2,JUEVES,NA,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,
10/07/2025,SEMANA 2,JUEVES,NA,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,
