Codigo,Humedad,Dureza,% Tamiz 4,% Tamiz 5,% Tamiz 10,% Tamiz 18,% Bandeja,Abrasion
Total 1,"1,02%","1,2398","0,92%","15,79%","76,89%","4,84%","1,55%","1,2%"
Total 35,"0,90%","2,69125","0,40%","20,43%","78,27%","0,43%","0,47%","0,0%"
Total 62,"1,44%","2,512596306","1,13%","12,71%","82,59%","2,88%","0,69%","-0,8%"
Total 65,"1,17%","3,362125253","1,76%","16,61%","78,59%","2,47%","0,57%","0,8%"
Total 123,"3,79%","2,230608696","6,17%","21,76%","66,73%","2,58%","2,75%","1,8%"
Total 141,"1,92%","1,790598802","1,19%","14,02%","81,38%","2,34%","1,07%","1,8%"
Total 150,"5,86%","2,7755","1,48%","8,51%","87,54%","1,61%","0,86%","2,5%"
Total 155,"2,42%","1,30773913","0,61%","8,44%","81,62%","4,23%","5,09%","1,7%"
Total 160,"1,42%","2,02396","1,38%","16,11%","77,55%","2,61%","2,36%","1,2%"
Total 161,"2,07%","2,28325","0,83%","9,89%","85,90%","2,48%","0,91%","0,7%"
Total 208,"1,61%","2,102926471","1,39%","11,94%","80,96%","4,73%","0,98%","1,7%"
Total 300,"2,07%","1,946909091","1,37%","13,47%","82,03%","2,25%","0,88%","1,6%"
Total 410,"2,70%","1,725","0,24%","4,31%","86,54%","7,34%","1,58%","0,0%"
Total 452,"1,45%","2,112893617","1,38%","12,08%","81,09%","4,56%","0,90%","1,8%"
Total 491,"1,14%","2,725150838","1,51%","12,87%","82,43%","2,57%","0,63%","1,6%"
Total 550,"5,67%","3,3026","3,50%","18,49%","75,76%","1,27%","0,98%","2,0%"
Total 558,"1,17%","3,765283784","1,74%","19,42%","76,77%","1,23%","0,85%","2,5%"
Total 563,"1,08%","2,36347619","0,80%","7,83%","86,60%","3,92%","0,85%","2,1%"
Total 564,"6,60%","3,78","0,59%","28,04%","70,20%","0,39%","0,78%","0,0%"
Total 574,"1,25%","2,317538462","0,88%","10,57%","86,16%","1,20%","1,19%","1,0%"
Total 643,"6,22%","0,00975","1,23%","11,08%","84,86%","2,33%","0,49%","2,0%"
Total 679,"1,65%","2,148601307","1,11%","12,95%","82,54%","2,49%","0,91%","1,6%"
Total 803,"1,55%","2,455772727","2,60%","17,06%","76,87%","2,73%","0,74%","1,5%"
Total 804,"1,63%","2,334","1,73%","21,16%","74,49%","1,72%","0,89%","2,0%"
Total 997,"6,17%","3,105909091","1,85%","16,90%","79,35%","1,35%","0,55%","0,9%"
Total 1275,"1,35%","2,005","0,24%","12,74%","84,40%","1,78%","0,84%","0,0%"
Total 1410,"1,46%","1,043","2,00%","16,00%","79,00%","1,00%","2,00%","2,0%"
