producto,materia_prima,kg_por_ton,porcentaje
1-CRECIMIENTO,UREA,543.5,54.35
1-CRECIMIENTO,FOSFATO DE AMONIO (MAP),152.5,15.25
1-CRECIMIENTO,SULFATO DE AMONIO (SAM),0.3,0.03
1-CRECIMIENTO,NITRATO DE POTASIO (KNO3),232.6,23.26
1-CRECIMIENTO,SULFATO MAGNESIO,40.0,4.0
1-CRECIMIENTO,ACIDO BORICO,1.2,0.12
1-CRECIMIENTO,SULFATO DE COBALTO,0.2,0.015
1-CRECIMIENTO,SULFATO DE COBRE,0.8,0.08
1-CRECIMIENTO,SULFATO DE HIERRO,2.5,0.25
1-CRECIMIENTO,SULFATO DE MANGANESO,1.7,0.17
1-CRECIMIENTO,MOLIBDATO DE SODIO,0.13,0.013
1-CRECIMIENTO,SULFATO DE ZINC,0.6,0.06
2-AVANCE,UREA,239.1,23.91
2-AVANCE,FOSFATO DE AMONIO (MAP),491.8,49.18
2-AVANCE,SULFATO DE AMONIO (SAM),4.7,0.47
2-AVANCE,NITRATO DE POTASIO (KNO3),218.9,21.89
2-AVANCE,SULFATO MAGNESIO ANHIDRO,31.3,3.13
2-AVANCE,ACIDO BORICO,1.2,0.12
2-AVANCE,SULFATO DE COBALTO,0.1,0.01
2-AVANCE,SULFATO DE COBRE,1.2,0.12
2-AVANCE,SULFATO FERROSO,2.7,0.27
2-AVANCE,SULFATO DE MANGANESO,2.9,0.29
2-AVANCE,MOLIBDATO DE SODIO,0.13,0.013
2-AVANCE,SULFATO DE ZINC,0.6,0.06
NUCLEO CAMASI,VINAZA X KILO,100.0,10.0
NUCLEO CAMASI,CARBONATO DE CALCIO X KILO,350.0,35.0
NUCLEO CAMASI,KIESERITA EN POLVO X KILO,50.0,5.0
NUCLEO CAMASI,BENTONITA GRIS X KILO,600.0,60.0
3-PRODUCTOR,SULFATO DE AMONIO (SAM),32.2,3.22
3-PRODUCTOR,NITRATO DE POTASIO,465.2,46.52
3-PRODUCTOR,FOSFATO DIPOTASICO (DKP),258.7,25.87
3-PRODUCTOR,SULFATO DE POTASIO,120.6,12.06
3-PRODUCTOR,SULFATO DE MAGNESIO ANHIDRO,62.5,6.25
3-PRODUCTOR,ACIDO BORICO,1.2,0.12
3-PRODUCTOR,SULFATO DE COBALTO,0.1,0.01
3-PRODUCTOR,SULFATO DE COBRE,0.8,0.08
3-PRODUCTOR,SULFATO DE HIERRO,2.5,0.25
3-PRODUCTOR,SULFATO DE MANGANESO,1.7,0.17
3-PRODUCTOR,MOLIBDATO DE SODIO,0.13,0.013
3-PRODUCTOR,SULFATO DE ZINC,0.9,0.085
NUCLEO 4,CAL DOLOMITA X KILO,100.0,10.0
