COD_PADRE,DESC_PRODUCTO,COD_MP,DESC_MP,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
35,SILIMAGRAN SN X KILO,,ROCA FOSFORICA 26% X KILO,160.0,0,0,0,0,0,0,4.16,0,5.76,0,0,0,0,0,0,0,0,0,0,0
35,SILIMAGRAN SN X KILO,,BENTONITA GRIS X KILO,20.0,0,0,0,0,0,0,0,0.04,0.12,0.08,0,0,0,0,0,0,0,1.14,0,0
35,SILIMAGRAN SN X KILO,,KIESERITA EN POLVO X KILO,70.0,0,0,0,0,0,0,0,0,0,1.75,1.4,0,0,0,0,0,0,0,0,0
35,SILIMAGRAN SN X KILO,,SILICATO DE MAGNESIO X KILO,750.0,0,0,0,0,0,0,0,0,0,25.395,0,0,0,0,0,0,0,27.735,0,0
35,SILIMAGRAN SN X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.04,5.88,27.225,1.4,0.0,0.0,0.0,0.0,0.0,0.0,28.875,0.0,0.0
62,NUCLEO CAMASI GRIS X KILO,,CARBONATO DE CALCIO X KILO,350.0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0
62,NUCLEO CAMASI GRIS X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
62,NUCLEO CAMASI GRIS X KILO,,BENTONITA GRIS X KILO,600.0,0,0,0,0,0,0,0,1.2,3.6,2.4,0,0,0,0,0,0,0,34.2,0,0
62,NUCLEO CAMASI GRIS X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,17.6,3.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0
65,NUCLEO 4 X KILO,,CAL DOLOMITA X KILO,100.0,0,0,0,0,0,0,0,0,3.4,1.4,0,0,0,0,0,0,0,0,0,0
65,NUCLEO 4 X KILO,,SILICATO DE MAGNESIO X KILO,400.0,0,0,0,0,0,0,0,0,0,13.544,0,0,0,0,0,0,0,14.792,0,0
65,NUCLEO 4 X KILO,,CARBONATO DE CALCIO X KILO,250.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0
65,NUCLEO 4 X KILO,,SULFATO DE CALCIO X KILO,150.0,0,0,0,0,0,0,0,0,3.3,0,1.95,0,0,0,0,0,0,0,0,0
65,NUCLEO 4 X KILO,,KIESERITA EN POLVO X KILO,100.0,0,0,0,0,0,0,0,0,0,2.5,2.0,0,0,0,0,0,0,0,0,0
65,NUCLEO 4 X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,17.444,3.95,0.0,0.0,0.0,0.0,0.0,0.0,14.792,0.0,0.0
82,MF 25-4-24 X KILO,,UREA X KILO,460.0,0,21.16,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,MF 25-4-24 X KILO,,DAP GRANULADO X KILO,80.0,0,1.44,1.44,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0
82,MF 25-4-24 X KILO,,KCL GRANULADO X KILO,360.0,0,0,0,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0
82,MF 25-4-24 X KILO,,NUCLEO 4 X KILO,100.0,0,0,0,0,0,0,0,0,1.8,1.8,0.4,0,0,0,0,0,0,1.4,0,0
82,MF 25-4-24 X KILO,,TOTAL,,0.0,22.6,1.44,0.0,0.0,21.16,3.68,21.6,1.8,1.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
83,MF 18-18-18 X KILO,,UREA X KILO,230.0,0,10.58,0,0,0,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,MF 18-18-18 X KILO,,DAP GRANULADO X KILO,350.0,0,6.3,6.3,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,MF 18-18-18 X KILO,,KCL GRANULADO X KILO,280.0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0
83,MF 18-18-18 X KILO,,NUCLEO 4 X KILO,140.0,0,0,0,0,0,0,0,0,2.52,2.52,0.56,0,0,0,0,0,0,1.96,0,0
83,MF 18-18-18 X KILO,,TOTAL,,0.0,16.88,6.3,0.0,0.0,10.58,16.1,16.8,2.52,2.52,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0
84,MF 17-6-18-2-1 X KILO,,UREA X KILO,300.0,0,13.8,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,MF 17-6-18-2-1 X KILO,,DAP GRANULADO X KILO,110.0,0,1.98,1.98,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0
