DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,UREA,543.5,0,25.001,0,0,0,25.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,FOSFATO DE AMONIO (MAP),152.5,0,1.6775,1.6775,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE AMONIO (SAM),0.3,0,0.0063,0.0063,0,0,0,0,0,0,0,0.0072,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,NITRATO DE POTASIO (KNO3),232.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO MAGNESIO,40,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,ACIDO BORICO,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE COBALTO,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE COBRE,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE HIERRO,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE MANGANESO,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,MOLIBDATO DE SODIO,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,SULFATO DE ZINC,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,E.D.T.A,21.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,DIÓXIDO SILICIO,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_1-CRECIMIENTO,1-CRECIMIENTO 30-10-10,TOTAL,,0,26.6848,1.6838,0,0,25.001,7.93,0,0,1,0.8072,0,0,0.0176,0,0,0,0,0.021,0
02_2-AVANCE,,UREA,239.092827215184,0,10.9983,0,0,0,10.9983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,FOSFATO DE AMONIO (MAP),491.785246442607,0,5.4096,5.4096,0,0,0,25.5728,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO DE AMONIO (SAM),4.69985900422987,0,0.0987,0.0987,0,0,0,0,0,0,0,0.1128,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,NITRATO DE POTASIO (KNO3),218.893433197004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO MAGNESIO ANHIDRO,31.2990610281692,0,0,0,0,0,0,0,0,0,0.7825,0.626,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,ACIDO BORICO,1.19996400107997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO DE COBALTO,0.0999970000899973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO DE COBRE,1.19996400107997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO FERROSO,2.69991900242993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO DE MANGANESO,2.89991300260992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,MOLIBDATO DE SODIO,0.129996100116997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_2-AVANCE,2-AVANCE 20-30-10,SULFATO DE ZINC,0.599982000539984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
