ITEM PADRE,DESC ITEM PADRE,ITEM MP,DESC ITEM M.P,LISTA ,CANTIDAD R
35,SILIMAGRAN SN X KILO,000290,ROCA FOSFORICA 26% X KILO,0,160
35,SILIMAGRAN SN X KILO,000370,BENTONITA GRIS X KILO,0,20
35,SILIMAGRAN SN X KILO,000074,KIESERITA EN POLVO X KILO,0,70
35,SILIMAGRAN SN X KILO,000214,VINAZA X KILO,0,100
35,SILIMAGRAN SN X KILO,000274,SILICATO DE MAGNESIO X KILO,0,750
62,NUCLEO CAMASI GRIS X KILO,000214,VINAZA X KILO,0,100
62,NUCLEO CAMASI GRIS X KILO,000105,CARBONATO DE CALCIO X KILO,0,350
62,NUCLEO CAMASI GRIS X KILO,000074,KIESERITA EN POLVO X KILO,0,50
62,NUCLEO CAMASI GRIS X KILO,000370,BENTONITA GRIS X KILO,0,600
65,NUCLEO 4 X KILO,000120,CAL DOLOMITA X KILO,3,100
65,NUCLEO 4 X KILO,000274,SILICATO DE MAGNESIO X KILO,3,400
65,NUCLEO 4 X KILO,000105,CARBONATO DE CALCIO X KILO,3,250
65,NUCLEO 4 X KILO,000005,SULFATO DE CALCIO X KILO,3,150
65,NUCLEO 4 X KILO,000074,KIESERITA EN POLVO X KILO,3,100
82,MF 25-4-24 X KILO,000012,UREA X KILO,0,460
82,MF 25-4-24 X KILO,000097,DAP GRANULADO X KILO,0,80
82,MF 25-4-24 X KILO,000144,KCL GRANULADO X KILO,0,360
82,MF 25-4-24 X KILO,000065,NUCLEO 4 X KILO,0,100
82,MF 25-4-24 X KILO,000241,EMPAQUE MF-25-4-24 X KILO,0,20
82,MF 25-4-24 X KILO,000267,LINER X 50KG,0,20
83,MF 18-18-18 X KILO,000012,UREA X KILO,0,230
83,MF 18-18-18 X KILO,000097,DAP GRANULADO X KILO,0,350
83,MF 18-18-18 X KILO,000144,KCL GRANULADO X KILO,0,280
83,MF 18-18-18 X KILO,000065,NUCLEO 4 X KILO,0,140
83,MF 18-18-18 X KILO,000243,EMPAQUE MF 18-18-18 X KILO,0,20
83,MF 18-18-18 X KILO,000267,LINER X 50KG,0,20
84,MF 17-6-18-2-1 X KILO,000012,UREA X KILO,0,300
84,MF 17-6-18-2-1 X KILO,000097,DAP GRANULADO X KILO,0,110
