678-ABONO ORGANICO-CALFERQUIM 1-G,678,ABONO ORGANICO,CALFERQUIM,1,MP,G
132-ACIDO BORICO- 1-P,132,ACIDO BORICO,,1,MP,P
447-ACIDO FULVICO 60- 1-,447,ACIDO FULVICO 60,,1,MP,
443-ACIDO FULVICO 80- 1-,443,ACIDO FULVICO 80,,1,MP,
361-AMINOACIDOS 43- 1-P,361,AMINOACIDOS 43,,1,MP,P
360-AMINOACIDOS 80- 1-P,360,AMINOACIDOS 80,,1,MP,P
320-ARCICOL- 1-,320,ARCICOL,,1,MP,
145-AZUFRE- 1-G,145,AZUFRE,,1,MP,G
130-AZUFRE M100- 1-P,130,AZUFRE M100,,1,MP,P
1204-BASE 1-VIJES 1-P,1204,BASE 1,VIJES,1,MP,P
223-BENTONITA CALCICA- 1-P,223,BENTONITA CALCICA,,1,MP,P
370-BENTONITA GRIS-COMERCIALIZADORA HA 4-P,370,BENTONITA GRIS,COMERCIALIZADORA HA,4,MP,P
370-BENTONITA GRIS-DIDIER HOYOS 1-P,370,BENTONITA GRIS,DIDIER HOYOS,1,MP,P
370-BENTONITA GRIS-FERTICAUCA 3-P,370,BENTONITA GRIS,FERTICAUCA,3,MP,P
370-BENTONITA GRIS-HENRY CORONADO 2-P,370,BENTONITA GRIS,HENRY CORONADO,2,MP,P
111-BENTONITA ROJA-COMERCIALIZADORA HA 3-P,111,BENTONITA ROJA,COMERCIALIZADORA HA,3,MP,P
111-BENTONITA ROJA-FERTICAUCA 4-P,111,BENTONITA ROJA,FERTICAUCA,4,MP,P
111-BENTONITA ROJA-HYM 2-P,111,BENTONITA ROJA,HYM,2,MP,P
111-BENTONITA ROJA-MINERALES 1-P,111,BENTONITA ROJA,MINERALES,1,MP,P
198-BENTONITA SODICA- 1-P,198,BENTONITA SODICA,,1,MP,P
204-BIOCANE- 1-P,204,BIOCANE,,1,MP,P
463-CAL APAGADA-JAMAROL 1-P,463,CAL APAGADA,JAMAROL,1,MP,P
120-CAL DOLOMITA-BM 1-P,120,CAL DOLOMITA,BM,1,MP,P
113-CALFOS G- 1-G,113,CALFOS G,,1,MP,G
110-CAOLIN GRIS- 1-P,110,CAOLIN GRIS,,1,MP,P
105-CARBONATO CALCIO-AGROCALES 1-P,105,CARBONATO CALCIO,AGROCALES,1,MP,P
105-CARBONATO CALCIO-HELVECIA 2-P,105,CARBONATO CALCIO,HELVECIA,2,MP,P
105-CARBONATO CALCIO-JAMAROL 3-P,105,CARBONATO CALCIO,JAMAROL,3,MP,P
450-CARBONITRO-CALFERQUIM 1-L,450,CARBONITRO,CALFERQUIM,1,MP,L
103-CITRATO ZINC- 1-P,103,CITRATO ZINC,,1,MP,P
451-COLORANTE-CALFERQUIM 1-L,451,COLORANTE,CALFERQUIM,1,MP,L
97-DAP-CIAMSA 4-G,97,DAP,CIAMSA,4,MP,G
97-DAP-DISAN 3-G,97,DAP,DISAN,3,MP,G
97-DAP-EVOAGRO 5-G,97,DAP,EVOAGRO,5,MP,G
97-DAP-MONOMEROS 7-g,97,DAP,MONOMEROS,7,MP,g
97-DAP-NITROFERT 6-G,97,DAP,NITROFERT,6,MP,G
97-DAP-NUTRICION PLANTAS 1-G,97,DAP,NUTRICION PLANTAS,1,MP,G
97-DAP-PRECISAGRO 8-G,97,DAP,PRECISAGRO,8,MP,G
97-DAP-CALFERQUIM 2-G,97,DAP,CALFERQUIM,2,MP,G
97-DAP-PRECISAGRO 7-G,97,DAP,PRECISAGRO,7,MP,G
97-DAP-MANUCHAR 8-G,97,DAP,MANUCHAR,8,MP,G
226-DAP TECNICO- 1-P,226,DAP TECNICO,,1,MP,P
79-DKP- 1-G,79,DKP,,1,MP,G
359-EXTRACTO ALGAS- 1-P,359,EXTRACTO ALGAS,,1,MP,P
437-FOSFORITA NEIVA-CALFERQUIM 1-P,437,FOSFORITA NEIVA,CALFERQUIM,1,MP,P
501-HIDROXIDO CALCIO-JAMAROL 1-P,501,HIDROXIDO CALCIO,JAMAROL,1,MP,P
144-KCL-ABOCAR 4-G,144,KCL,ABOCAR,4,MP,G
144-KCL-DISAN 6-G,144,KCL,DISAN,6,MP,G
144-KCL-EVOAGRO 3-G,144,KCL,EVOAGRO,3,MP,G
144-KCL-NUTRICION PLANTAS 2-G,144,KCL,NUTRICION PLANTAS,2,MP,G
144-KCL-SQM 1-G,144,KCL,SQM,1,MP,G
144-KCL GR-CIAMSA 5-G,144,KCL GR,CIAMSA,5,MP,G
143-KCL STD-DISAN 1-P,143,KCL STD,DISAN,1,MP,P
74-KIESERITA-MANUCHAR 1-P,74,KIESERITA,MANUCHAR,1,MP,P
75-KIESERITA- 1-G,75,KIESERITA,,1,MP,G
75-KIESERITA GR-NUTRICION DE PLANTAS 2-G,75,KIESERITA GR,NUTRICION DE PLANTAS,2,MP,G
75-KIESERITA GR-PQP 3-G,75,KIESERITA GR,PQP,3,MP,G
152-LEONARDITA- 1-P,152,LEONARDITA,,1,MP,P
72-MAP-CIAMSA 2-G,72,MAP,CIAMSA,2,MP,G
