idInterno;codigoExterno;clase;grupo;producto;tiene_HS;score;motivo;archivo_HS
MP0001;145;MP;MP;AZUFRE;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD -  AZUFREA MALLA 100.docx
MP0002;97;MP;MP;DAP;SI;1.0;coincidencia exacta;16) HS DAP CIAMSA.pdf
MP0003;144;MP;MP;KCL;SI;1.0;coincidencia exacta;17) HS KCL CIAMSA.pdf
MP0004;75;MP;MP;KIESERITA;SI;1.0;coincidencia exacta;29. Ficha de datos de seguridad de Kieserita - Sulfato de magnesio monohidratado, kieserite.pdf
MP0005;72;MP;MP;MAP;SI;1.0;coincidencia exacta;18) HS MAP CIAMSA.pdf
MP0006;32;MP;MP;SAM;SI;1.0;coincidencia exacta;004 - FDS SAM (1).pdf
MP0007;167;MP;MP;SULFATO POTASIO;SI;0.5;keywords:1/2;HOJA DE SEGURIDAD SULFATO DE POTASIO.docx
MP0008;12;MP;MP;UREA;SI;1.0;coincidencia exacta;21) HS Urea CIAMSA.pdf
MP0012;130;MP;MP;AZUFRE M100;SI;1.0;keywords:2/2;HOJA DE SEGURIDAD -  AZUFREA MALLA 100.docx
MP0024;226;MP;MP;DAP TECNICO;SI;0.5;keywords:1/2;16) HS DAP CIAMSA.pdf
MP0026;437;MP;MP;FOSFORITA NEIVA;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD - FOSFORITA NEIVA.docx
MP0028;143;MP;MP;KCL STD;SI;0.5;keywords:1/2;17) HS KCL CIAMSA.pdf
MP0029;74;MP;MP;KIESERITA;SI;1.0;coincidencia exacta;29. Ficha de datos de seguridad de Kieserita - Sulfato de magnesio monohidratado, kieserite.pdf
MP0031;193;MP;MP;MAP STD;SI;1.0;keywords:1/1;18) HS MAP CIAMSA.pdf
MP0039;40;MP;MP;SAM STD;SI;0.5;keywords:1/2;004 - FDS SAM (1).pdf
MP0041;274;MP;MP;SILICATO MAGNESIO;SI;0.5;keywords:1/2;20) HS Silicato de Magnesio Pulverizar.pdf
MP0042;37;MP;MP;SILICATO SODIO;SI;0.5;keywords:1/2;19) HS Silicato de Sodio NP-41 JADESI SA.pdf
MP0043;5;MP;MP;SULFATO CALCIO;SI;1.0;keywords:1/1;HOJA DE SEGURIDAD - YESO EN POLVO.docx
MP0044;505;MP;MP;SULFATO CALCIO SUCROAL;SI;1.0;keywords:1/1;HOJA DE SEGURIDAD - YESO EN POLVO.docx
MP0045;831;MP;MP;SULFATO COBRE;SI;0.5;keywords:1/2;11) HS Sulfato de Cobre Pentahidratado 25_ CONAGRAN.pdf
MP0046;30;MP;MP;SULFATO COBRE 22;SI;0.5;keywords:1/2;11) HS Sulfato de Cobre Pentahidratado 25_ CONAGRAN.pdf
MP0050;425;MP;MP;SULFATO MANGANESO;SI;0.5;keywords:1/2;29. Ficha de datos de seguridad de Sulfato de Manganeso Monohidratado Fino - 17S+31Mn 20231025 22.pdf
PT0001;123;PT;PT_COMERCIAL;BORO G;SI;0.5;keywords:1/2;HDS ACIDO BORICO PQP .pdf
