ID_PROD,COD,PRODUCTO,PROVEEDOR,Cprov,CLASE,TIPO,NOMBRE,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na,COMP1,COMP2,COMP3,COMP4,COMP5,COMP6,COMP7,COMP8,COMP9,COMP10
678-ABONO ORGANICO-CALFERQUIM 1-G,678,ABONO ORGANICO,CALFERQUIM,1,MP,G,678-ABONO ORGANICO-CALFERQUIM 1-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145-AZUFRE- 1-G,145,AZUFRE,,1,MP,G,145-AZUFRE- 1-G,,,,,,,,,,,"51,00",,,,,,,,,,,,,,,,,,,
113-CALFOS G- 1-G,113,CALFOS G,,1,MP,G,113-CALFOS G- 1-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97-DAP-CALFERQUIM 2-G,97,DAP,CALFERQUIM,2,MP,G,97-DAP-CALFERQUIM 2-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-CIAMSA 4-G,97,DAP,CIAMSA,4,MP,G,97-DAP-CIAMSA 4-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-DISAN 3-G,97,DAP,DISAN,3,MP,G,97-DAP-DISAN 3-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-EVOAGRO 5-G,97,DAP,EVOAGRO,5,MP,G,97-DAP-EVOAGRO 5-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-MANUCHAR 8-G,97,DAP,MANUCHAR,8,MP,G,97-DAP-MANUCHAR 8-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-NITROFERT 6-G,97,DAP,NITROFERT,6,MP,G,97-DAP-NITROFERT 6-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-NUTRICION PLANTAS 1-G,97,DAP,NUTRICION PLANTAS,1,MP,G,97-DAP-NUTRICION PLANTAS 1-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-PRECISAGRO 7-G,97,DAP,PRECISAGRO,7,MP,G,97-DAP-PRECISAGRO 7-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
97-DAP-PRECISAGRO 8-G,97,DAP,PRECISAGRO,8,MP,G,97-DAP-PRECISAGRO 8-G,,"18,00","18,00",,,,"46,00",,,,,,,,,,,,,,,,,,,,,,,
79-DKP- 1-G,79,DKP,,1,MP,G,79-DKP- 1-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144-KCL-ABOCAR 4-G,144,KCL,ABOCAR,4,MP,G,144-KCL-ABOCAR 4-G,,,,,,,,"60,00",,,,,,,,,,,,,,,,,,,,,,
144-KCL-DISAN 6-G,144,KCL,DISAN,6,MP,G,144-KCL-DISAN 6-G,,,,,,,,"60,00",,,,,,,,,,,,,,,,,,,,,,
144-KCL-EVOAGRO 3-G,144,KCL,EVOAGRO,3,MP,G,144-KCL-EVOAGRO 3-G,,,,,,,,"60,00",,,,,,,,,,,,,,,,,,,,,,
