ID_PROD;COD;PRODUCTO;PROVEEDOR;Cprov;CLASE;TIPO;NOMBRE;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na;COMP1;COMP2;COMP3;COMP4;COMP5;COMP6;COMP7;COMP8;COMP9;COMP10
132-ACIDO BORICO- 1-P;132;ACIDO BORICO;;1;MP;P;132-ACIDO BORICO- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361-AMINOACIDOS 43- 1-P;361;AMINOACIDOS 43;;1;MP;P;361-AMINOACIDOS 43- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360-AMINOACIDOS 80- 1-P;360;AMINOACIDOS 80;;1;MP;P;360-AMINOACIDOS 80- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130-AZUFRE M100- 1-P;130;AZUFRE M100;;1;MP;P;130-AZUFRE M100- 1-P;;;;;;;;;;;51,00;;;;;;;;;;;;;;;;;;;
1204-BASE 1-VIJES 1-P;1204;BASE 1;VIJES;1;MP;P;1204-BASE 1-VIJES 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223-BENTONITA CALCICA- 1-P;223;BENTONITA CALCICA;;1;MP;P;223-BENTONITA CALCICA- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370-BENTONITA GRIS-COMERCIALIZADORA HA 4-P;370;BENTONITA GRIS;COMERCIALIZADORA HA;4;MP;P;370-BENTONITA GRIS-COMERCIALIZADORA HA 4-P;;;;;;;;2,00;6,00;4,00;;;;;;;;57,00;;;;;;;;;;;;
111-BENTONITA ROJA-COMERCIALIZADORA HA 3-P;111;BENTONITA ROJA;COMERCIALIZADORA HA;3;MP;P;111-BENTONITA ROJA-COMERCIALIZADORA HA 3-P;;;;;;;;;;1,00;;;;;;;;47,00;;;;;;;;;;;;
198-BENTONITA SODICA- 1-P;198;BENTONITA SODICA;;1;MP;P;198-BENTONITA SODICA- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204-BIOCANE- 1-P;204;BIOCANE;;1;MP;P;204-BIOCANE- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
