Mezcla,Total,Estado,%N,%P,%K
MFE 23-5-10,2150,mojada,23,5,10
INTIBALANCE,2000,,,,
MFE 10-15-20,1600,mojada,10,15,20
MF 10-24-4,6050,regular,10,24,4
MFE 16-16-16,2000,,16,16,16
MFE 22-3-7,100,,22,3,7
MFE 21-5-1,150,mojada,21,5,1
MFE 22-3-13,1050,mojada,22,3,13
MF 17-5-7,200,mojada,17,5,7
MFE 14-4-23,250,mojada,14,4,23
agricola nariño engrose,1000,mojada,,,
MFE 26-6-2 / SUPER PASTURA,100,,26,6,2
KARGADOR,50,,,,
VELEZ # 8,50,,,,
MFE 10-30-10,50,,10,30,10
MF 27-1-12,50,mojada,27,1,12
ENMIENDA,300,,,,
MF 17-7-2 / MAX PUNTEO,50,mojada,17,7,2
MFE 31-0-20 TMC,100,mojada,31,0,20
MF KASTRO FERTICOMPLETO,2700,,,,
MFE 24-2-14,1500,,24,2,14
MFE 28-0-6,1450,,28,0,6
MFE 11-10-3,150,,11,10,3
maxiraices,50,,,,
MFE 28-1-12,150,,28,1,12
nutricampo,300,,,,
ferti-inicio-intibalance,1000,mojada,,,
