Nombre,Tipo,Estado,Nitrógeno total,Nitrógeno amoniacal,Nitrógeno uréico,Nitrógeno orgánico,Nitrógeno nítrico,Fósforo total,Fósforo asimilable,Fósforo lenta asimilación,Potasio total,Potasio soluble,Calcio Total,Calcio Soluble,Magnesio Total,Magnesio Soluble,Azufre Total,Azufre Soluble,Boro Total,Boro Soluble,Cobalto Total,Cobalto Soluble,Cobre Total,Cobre Soluble,Hierro Total,Hierro Soluble,Manganeso Total,Manganeso Soluble,Molibdeno Total,Molibdeno Soluble,Silicio Total,Silicio Soluble,Sodio Total,Sodio Soluble,Zinc Total,Zinc Soluble,Carbono Organico,Capacidad-Intercambio-Cationico,Cenizas,Perdidas por volatilización,Capacidad de Retención de Humedad, Residuo,pH,Densidad,Humedad,Conductividad Eléctrica,Solubilidad en agua,Solubilidad en ácido,Cromo,Cadmio,Mercurio,Plomo,Niquel,Coliformes Totales,Salmonella spp,Enterobacterias,Huevos de Helmintos
Núcleo Camasi Gris,inorgánico,granulado,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Camasi Rojo,inorgánico,granulado,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Camasi Yara,inorgánico,granulado,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo 4,inorgánico,granulado,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo N,inorgánico,granulado,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Magnesio Silicio,inorgánico,granulado,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Magnesio Azufre,inorgánico,granulado,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Sulfato Calcio P,inorgánico,granulado,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Sulfocal 2,inorgánico,granulado,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Sulfato Calcio,inorgánico,granulado,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Sulfato Calcio Z,inorgánico,polvo,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
K2K,orgánico-mineral,granulado,,,,,,,,,x,x,x,,,,x,,,,,,,,,,,,,,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x
Raifos 20,orgánico-mineral,granulado,,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,x,x,,,,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x
Magne 3,inorgánico,granulado,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Zueloca,inorgánico,granulado,,,,,,,,,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Calfercorrectivo,acondicionador inorgánico,polvo,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Sulfato Zinc 22,inorgánico,granulado,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Silimagran 30,inorgánico,granulado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Fertimenores,mezclado,granulado,x,,,,,x,,,,,x,,x,,x,,x,,,,x,,,,,,,,,,,,x,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
MF 25 4 24,compuesto,mezclado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
MF 18 18 18,compuesto,mezclado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
MF 15 15 15,compuesto,mezclado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
MF 17 6 18 2,compuesto,mezclado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Boro Granulado,inorgánico,granulado,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Fercon,inorgánico,granulado,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Calferzinc P,inorgánico,granulado,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Fosforo Especial,inorgánico,granulado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Fosforo 1,inorgánico,granulado,,,,,,x,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Núcleo Fosforo 10,inorgánico,granulado,,,,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
