,PRODUCTO,No REGISTRO ICA,TIPO,MATERIAS PRIMAS,rvf
,CALFERCORRECTIVO,14125,ACONDICIONADOR,"Cal Dolomita
 Carbonato de Calcio
 Silicato de Magnesio
 Sulfato de Calcio",si
,FOSFORITA NEIVA,2812,ACONDICIONADOR,"Roca Fosfórica
 Silicato de Magnesio (Serpentina O Antigorita)
 Vinaza",si
,CALFERBORO,4179,GRANULADO,"Borax Técnico
Silicato
Vinaza",si
,CALFERQUIM SILIMAGRAN 30,3601,GRANULADO,"Roca Fosfórica
 Silicato de Magnesio (Serpentina O Antigorita)
 Vinaza",si
,CALFERZINC-P GRADO 0-3-0,2949,GRANULADO,"Superfosfato Triple
 Sulfato de Zinc Monohidratado
 Caolín",si
,FERTIMENORES NP 4-10-0,3536,GRANULADO,"Cal Dolomita
Kieserita
Roca fosforica
Silicato de Magnesio
Sulfato de Calcio
Sulfato de Cobre
Sulfato de Zinc
Ulexita",no
,MAGNE 3,13883,GRANULADO,"Cal Dolomita
Cloruro de Potasio estandar
Kieserita
Óxido de Magnesio
Silicato de Magnesio
Caolín",no
,PRODUCCION 17,13790,GRANULADO,"Cloruro de Potasio Granulado
 Fosfato Diamónico Granulado
 Kieserita Granulada
 Sulfato Amonio Granulado
 Urea Granulada
 Caolín",si
,ZUELO-CA,13702,GRANULADO,"Sulfato de Calcio
 Cal Dolomita
 Cloruro de Potasio
 Kieserita
 Silicato de Magnesio
 Ulexita
 Caolín",si
,CALFERQUIM 15-15-15,3537,MEZCLA FÍSICA,"Urea
 Fosfato Diamónico
 Cloruro de Potasio
 Carbonato de Calcio
 Silicato de Magnesio (Serpentina)",si
,CALFERQUIM 17-6-18-2,5060,MEZCLA FÍSICA,"Urea
 Fosfato Diamónico
 Cloruro de Potasio
 Sulfato de Magnesio
 Carbonato de Calcio",si
,CALFERQUIM 18-18-18,4533,MEZCLA FÍSICA,"Urea Granulada
 Fosfato Diamónico
 Cloruro de Potasio
 Carbonato de Calcio
 Silicato de Magnesio (Serpentina)",si
,FERTILIZANTE 25-4-24,9386,MEZCLA FÍSICA,"Urea
 Fosfato Diamónico
 Cloruro de Potasio",si
,BIOPLANTAS,5884,ORGANICO,Compost de Residuo de Caña de Azúcar,si
,K2K,13801,ORGANICO,"Biorganik (COOT, K, Cao, S, Sio2)
 Sulfato de Calcio (Yeso Agrícola)
 Cloruro de Potasio
 Sulfato de Potasio
 Caolín",si
,ORGANIC M,13918,ORGANICO,"Ureafosfato
Fosfato monopotásico (MKP)
Nitrato de potasio
Sulfato de magnesio anhidro
Ácido bórico
Sulfato de cobalto
Sulfato de cobre
Sulfato ferroso
Sulfato de manganeso
Molibdato de sodio
Sulfato de zinc
Algas marinas
Vinaza (Biorganik)
Edta
Dioxido de silicio",no
,RAIFOS 20,13446,ORGANICO,"Fosfato Monoamónico
 Roca Fosfórica
 Carbonato de Calcio
 Kieserita
 Biorganik (COOT, K, CaO, S, SiO2)",si
,1-CRECIMIENTO,13872,SOLUBLES,"Urea
Fosfato de amonio (MAP)
Sulfato de amonio
Nitrato de potasio
Sulfato de magnesio
Ácido borico
Sulfato de cobalto
Sulfato de cobre
Sulfato de hierro
Sulfato de manganeso
Molibdato de sodio
Dióxido de silicio
Sulfato de zinc",no
,2-AVANCE,13859,SOLUBLES,"Urea
Fosfato de amonio (map)
Sulfato de amonio (sam)
Nitrato de potasio
Sulfato de magnesio anhidro
Ácido borico
Sulfato de cobalto
Sulfato de cobre
Sulfato ferroso
Sulfato de manganeso
Molibdato de sodio
Sulfato de zinc",no
,3-PRODUCTOR,13866,SOLUBLES,"Sulfato De Amonio (Sam)
Nitrato De Potasio
Fosfato Dipotasico (Dkp)
Sulfato De Potasio
Sulfato De Magnesio Anhidro
Ácido Borico
Sulfato De Cobalto
Sulfato De Cobre
Sulfato De Hierro
Sulfato De Manganeso
Molibdato De Sodio
Dióxido De Silicio (Perkasil)
Sulfato De Zinc",
,AFOS-K 0-40-50,4415,SOLUBLES,Fosfato Dipotásico Producto de La Reacción Química del Ácido Fosfórico Y La Potasa Caustica,si
,CALFER DESARROLLO,13879,SOLUBLES,"Fosfato de amonio (map)
Sulfato amonio (sam)
Nitrato de potasio
Sulfato magnesio anhidro
Ácido borico
Sulfato de cobalto
Sulfato de cobre
Sulfato de hierro
Sulfato de manganeso
Molibdato de sodio
Dióxido de silicio
Sulfato de zinc",no
,CALFER FLORACIÓN,13871,SOLUBLES,"Fosfato de Amonio
Sulfato de Amonio
Nitrato de Potasio
Sulfato de Magnesio
Ácido Bórico
Sulfato de Cobalto
Sulfato de Hierro
Sulfato de Manganeso
Molibdato de Sodio
Dióxido de Silicio
Sulfato de Zinc
EDTA
Dextrosa monohidratada.",no
,CALFER LLENADO,13824,SOLUBLES,"Fosfato Dipotásico
 Sulfato de Potasio
 Nitrato de Potasio
 Sulfato de Magnesio Anhidro
 Ácido Bórico
 Sulfato de Cobalto
 Sulfato de Cobre
 Sulfato de Hierro
 Sulfato de Manganeso
 Molibdato de Sodio
 Sulfato de Zinc",si
,CALFER MENORES,13860,SOLUBLES,"Sulfato de Magnesio Anhidro
Ácido Bórico
Sulfato de Cobalto
Sulfato de Cobre
Sulfato de Hierro
Sulfato de Magnesio
Molibdato de Sodio
Dióxido de Silicio
Sulfato de Zinc. 
EDTA.",no
,CALFERCOBRE,5791,SOLUBLES,Sulfato de Cobre Pentahidratado,si
,CALFERMAGNESIO,5867,SOLUBLES,Sulfato de Magnesio Heptahidratado,si
,FOLLAJE,,SOLUBLES,"Urea
Fosfato Diamonico
Sulfato de Amonio
Cloruro de Potasio
Fosfogran
Robusto pH
Ulexita
Kieserita",no
,SOLURAIFOS,13751,SOLUBLES,"Cloruro de Potasio
 Fosfato de Amonio
 dextrosa Monohidratada",si
,SULFA K 50,13749,SOLUBLES,"Cloruro de Potasio
 Fosfato Monopotásico
 Sulfato de Potasio",si
