folder,clean_folder,csv_id,csv_product,csv_clase,csv_tipo,csv_proveedor,match_type
01_1-CRECIMIENTO,1-CRECIMIENTO,999-1-CRECIMIENTO-CALFERQUIM 1-,1-CRECIMIENTO,PT,,CALFERQUIM,Exacto
02_2-AVANCE,2-AVANCE,999-2-AVANCE-CALFERQUIM 1-,2-AVANCE,PT,,CALFERQUIM,Exacto
02_NUCLEO CAMASI,NUCLEO CAMASI,62-NUCLEO CAMASI GRIS-CALFERQUIM 1-G,NUCLEO CAMASI GRIS,PT,G,CALFERQUIM,Parcial
02_NUCLEO CAMASI,NUCLEO CAMASI,452-NUCLEO CAMASI ROJO-CALFERQUIM 1-G,NUCLEO CAMASI ROJO,PT,G,CALFERQUIM,Parcial
02_NUCLEO CAMASI,NUCLEO CAMASI,563-NUCLEO CAMASI YARA-CALFERQUIM 1-G,NUCLEO CAMASI YARA,PT,G,CALFERQUIM,Parcial
02_NUCLEO CAMASI,NUCLEO CAMASI,50-POLVILLO NUCLEO CAMASI-CALFERQUIM 1-,POLVILLO NUCLEO CAMASI,PT,,CALFERQUIM,Parcial
02_NUCLEO CAMASI,NUCLEO CAMASI,636-POLVILLO NUCLEO CAMASI ROJO-CALFERQUIM 1-,POLVILLO NUCLEO CAMASI ROJO,PT,,CALFERQUIM,Parcial
02_NUCLEO CAMASI,NUCLEO CAMASI,534-POLVILLO NUCLEO CAMASI YARA-CALFERQUIM 1-,POLVILLO NUCLEO CAMASI YARA,PT,,CALFERQUIM,Parcial
03_3-PRODUCTOR,3-PRODUCTOR,999-3-PRODUCTOR-CALFERQUIM 1-,3-PRODUCTOR,PT,,CALFERQUIM,Exacto
03_NUCLEO 4,NUCLEO 4,65-NUCLEO 4-CALFERQUIM 1-G,NUCLEO 4,PT,G,CALFERQUIM,Exacto
04_10-20-20,10-20-20,137-MF 10-20-20-CALFERQUIM 1-G,MF 10-20-20,PT,G,CALFERQUIM,Parcial
04_25-4-24,25-4-24,82-MF 25-4-24-CALFERQUIM 1-G,MF 25-4-24,PT,G,CALFERQUIM,Parcial
04_25-4-24,25-4-24,1327-MFE 25-4-13-CALFERQUIM 1-G,MFE 25-4-13,PT,G,CALFERQUIM,Parcial
05_10-30-10,10-30-10,86-MF 10-30-10-CALFERQUIM 1-G,MF 10-30-10,PT,G,CALFERQUIM,Parcial
05_18-18-18,18-18-18,83-MF 18-18-18-CALFERQUIM 1-G,MF 18-18-18,PT,G,CALFERQUIM,Parcial
06_13-5-27,13-5-27,388-MF 11-5-27-CALFERQUIM 1-G,MF 11-5-27,PT,G,CALFERQUIM,Parcial
06_17-6-18-2,17-6-18-2,84-MF 17-6-18-2-1-CALFERQUIM 1-G,MF 17-6-18-2-1,PT,G,CALFERQUIM,Parcial
06_17-6-18-2,17-6-18-2,402-MF 17-6-18-6+EM-CALFERQUIM 1-G,MF 17-6-18-6+EM,PT,G,CALFERQUIM,Parcial
06_17-6-18-2,17-6-18-2,21-MF-17-6-18-2-CALFERQUIM 1-G,MF-17-6-18-2,PT,G,CALFERQUIM,Parcial
07_15-15-15,15-15-15,85-MF 15-15-15-CALFERQUIM 1-G,MF 15-15-15,PT,G,CALFERQUIM,Parcial
08_BORO GRANULADO,BORO GRANULADO,123-BORO G-CALFERQUIM 1-G,BORO G,PT,G,CALFERQUIM,Parcial
12_AZUFREA MALLA 100,AZUFREA MALLA 100,145-AZUFRE- 1-G,AZUFRE,MP,G,,Parcial
13_B-ZINC 15,B-ZINC 15,350-B-ZINC-CALFERQUIM 1-G,B-ZINC,PT,G,CALFERQUIM,Parcial
17_CALFERCORRECTIVO,CALFERCORRECTIVO,311-CALFERCORRECTIVO-CALFERQUIM 1-G,CALFERCORRECTIVO,PT,G,CALFERQUIM,Exacto
